position,image_path,candidate_id,ticker,session_date,visible_maxpush_pct,pm_open_to_momentum_trigger_pct,pm_open_to_scanner_pct,pm_open_to_premarket_extension_high_pct,das_state,first_dip_depth_pct,first_rebreak_type,first_rebreak_ts_et
191,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_premarket_detail_only\20260628T183512Z\images\0191_BTCS_2025-05-14_push45.23_rebreak_03_event_day_premarket_detail.png,das_scanner_appearance:BTCS:2025-05-14T12:33:00+00:00,BTCS,2025-05-14,45.2261,,17.0854,45.22613065326634,rebreak_confirmed,28.0277,vwap_reclaim_rebreak,2025-05-14 08:36:00 EDT
192,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_premarket_detail_only\20260628T183512Z\images\0192_AREC_2025-11-03_push45.22_rebreak_03_event_day_premarket_detail.png,das_scanner_appearance:AREC:2025-11-03T13:45:00+00:00,AREC,2025-11-03,45.2196,,38.3488,49.870801033591725,rebreak_confirmed,9.6085,ascending_flag_break,2025-11-03 08:49:00 EST
193,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_premarket_detail_only\20260628T183512Z\images\0193_GLE_2025-09-10_push45.03_rebreak_03_event_day_premarket_detail.png,das_scanner_appearance:GLE:2025-09-10T10:04:00+00:00,GLE,2025-09-10,45.0318,70.20256502457148,-0.5154,647.9323984178353,rebreak_confirmed,33.2479,single_candle_rebreak,2025-09-10 06:08:00 EDT
194,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_premarket_detail_only\20260628T183512Z\images\0194_EVTV_2026-01-12_push44.96_rebreak_03_event_day_premarket_detail.png,das_scanner_appearance:EVTV:2026-01-12T12:00:00+00:00,EVTV,2026-01-12,44.9571,52.633728052266235,42.9155,159.289505920784,rebreak_confirmed,7.7465,ascending_flag_break,2026-01-12 07:09:00 EST
195,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_premarket_detail_only\20260628T183512Z\images\0195_VVPR_2025-03-26_push44.95_rebreak_03_event_day_premarket_detail.png,das_scanner_appearance:VVPR:2025-03-26T13:25:00+00:00,VVPR,2025-03-26,44.9541,55.963302752293565,28.8991,55.963302752293565,rebreak_confirmed,7.9114,last_red_high_break,2025-03-26 09:29:00 EDT
196,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_premarket_detail_only\20260628T183512Z\images\0196_RANI_2025-07-14_push44.36_rebreak_03_event_day_premarket_detail.png,das_scanner_appearance:RANI:2025-07-14T09:03:00+00:00,RANI,2025-07-14,44.357,56.02216389617966,29.2797,72.0618256051327,rebreak_confirmed,16.4949,vwap_reclaim_rebreak,2025-07-14 05:22:00 EDT
197,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_premarket_detail_only\20260628T183512Z\images\0197_CDT_2026-02-03_push44.26_rebreak_03_event_day_premarket_detail.png,das_scanner_appearance:CDT:2026-02-03T10:26:00+00:00,CDT,2026-02-03,44.2623,,43.4426,44.26229508196722,rebreak_confirmed,12.5,vwap_reclaim_rebreak,2026-02-03 05:30:00 EST
198,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_premarket_detail_only\20260628T183512Z\images\0198_CLIK_2025-10-27_push44.13_rebreak_03_event_day_premarket_detail.png,das_scanner_appearance:CLIK:2025-10-27T08:03:00+00:00,CLIK,2025-10-27,44.1292,50.19569471624264,33.2681,79.15851272015654,rebreak_confirmed,10.998,single_candle_rebreak,2025-10-27 04:05:00 EDT
199,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_premarket_detail_only\20260628T183512Z\images\0199_HOVR_2024-11-11_push43.85_rebreak_03_event_day_premarket_detail.png,das_scanner_appearance:HOVR:2024-11-11T09:03:00+00:00,HOVR,2024-11-11,43.8537,65.29268292682927,37.0488,65.29268292682927,rebreak_confirmed,13.1061,vwap_reclaim_rebreak,2024-11-11 04:44:00 EST
200,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_premarket_detail_only\20260628T183512Z\images\0200_IMRX_2025-01-07_push43.46_rebreak_03_event_day_premarket_detail.png,das_scanner_appearance:IMRX:2025-01-07T12:04:00+00:00,IMRX,2025-01-07,43.4599,50.63291139240504,33.5443,137.9746835443038,rebreak_confirmed,12.6471,vwap_reclaim_rebreak,2025-01-07 07:25:00 EST
201,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_premarket_detail_only\20260628T183512Z\images\0201_BEAT_2025-12-10_push43.03_rebreak_03_event_day_premarket_detail.png,das_scanner_appearance:BEAT:2025-12-10T12:00:00+00:00,BEAT,2025-12-10,43.0348,61.69154228855721,26.8657,91.54228855721392,rebreak_confirmed,15.6087,single_candle_rebreak,2025-12-10 07:02:00 EST
202,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_premarket_detail_only\20260628T183512Z\images\0202_SES_2024-12-27_push42.86_rebreak_03_event_day_premarket_detail.png,das_scanner_appearance:SES:2024-12-27T09:00:00+00:00,SES,2024-12-27,42.8571,,34.9206,46.03174603174603,rebreak_confirmed,11.4815,single_candle_rebreak,2024-12-27 04:03:00 EST
203,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_premarket_detail_only\20260628T183512Z\images\0203_GLTO_2025-09-23_push42.86_rebreak_03_event_day_premarket_detail.png,das_scanner_appearance:GLTO:2025-09-23T10:51:00+00:00,GLTO,2025-09-23,42.8571,50.32467532467532,31.4935,126.94805194805194,rebreak_confirmed,13.1818,ascending_flag_break,2025-09-23 06:55:00 EDT
204,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_premarket_detail_only\20260628T183512Z\images\0204_OSRH_2025-02-21_push42.65_rebreak_03_event_day_premarket_detail.png,das_scanner_appearance:OSRH:2025-02-21T14:27:00+00:00,OSRH,2025-02-21,42.645,,37.1301,45.52845528455285,rebreak_confirmed,7.4778,single_candle_rebreak,2025-02-21 09:29:00 EST
205,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_premarket_detail_only\20260628T183512Z\images\0205_BACK_2025-01-28_push42.50_rebreak_03_event_day_premarket_detail.png,das_scanner_appearance:BACK:2025-01-28T09:01:00+00:00,BACK,2025-01-28,42.5,52.500000000000014,38.3333,74.16666666666666,rebreak_confirmed,6.4327,vwap_reclaim_rebreak,2025-01-28 04:10:00 EST
206,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_premarket_detail_only\20260628T183512Z\images\0206_KLTO_2025-01-03_push42.50_rebreak_03_event_day_premarket_detail.png,das_scanner_appearance:KLTO:2025-01-03T11:16:00+00:00,KLTO,2025-01-03,42.4957,62.47170062591556,35.837,62.47170062591556,rebreak_confirmed,11.215,single_candle_rebreak,2025-01-03 06:18:00 EST
207,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_premarket_detail_only\20260628T183512Z\images\0207_DOMH_2025-03-31_push42.23_rebreak_03_event_day_premarket_detail.png,das_scanner_appearance:DOMH:2025-03-31T12:26:00+00:00,DOMH,2025-03-31,42.2319,,27.1335,42.23194748358861,rebreak_confirmed,18.7692,vwap_reclaim_rebreak,2025-03-31 08:32:00 EDT
