date,ticker,bar_count_raw,open_raw,close_raw,high_raw,low_raw,cum_volume_session_raw,session_vwap_raw,intraday_return_since_open_raw,session_range_pct_raw,opening_drive_30m_raw,pullback_from_session_high_raw,session_vwap_distance_raw,open_norm,close_norm,high_norm,low_norm,session_range_abs_norm,realized_vol_1d_norm,max_future_split_factor_in_day,gap_open_vs_prev_close,open_vs_prev_session_close,open_vs_prev_session_high,open_vs_prev_session_low,multi_session_return_3d_to_open,multi_session_return_5d_to_open,distance_to_prev_day_range_center,prev_day_range_pct_norm,range_expansion_vs_prev_day_norm,distance_to_n_day_high_5,distance_to_n_day_low_5,realized_vol_prev_3_sessions_norm,overnight_gap_zscore_20,year,feature_contract,feature_grain,cross_session_price_view,intraday_price_view,source_raw_root,source_split_normalized_root
2006-03-01,PD,398,69.0,70.725,71.055,68.61,5713600.0,69.94819553696443,0.02499999999999991,0.03543478260869576,0.0018115942028984477,-0.004644289634790133,0.011105425337599284,138.0,141.45,142.11,137.22,4.890000000000015,0.022965777762192507,2.0,,,,,,,,,,,,,,2006,intraday_regime_features_v0_1,ticker_day,1m_split_normalized_v0_1,1m_raw,D:\ohlcv_1m,E:\TSIS\data\ohlcv_1m_split_normalized
2006-03-02,PD,402,70.95,71.5,72.295,70.13,4921400.0,71.48325795505343,0.007751937984496138,0.03051444679351665,0.0014094432699083281,-0.010996611107268905,0.0002342093159364289,141.9,143.0,144.59,140.26,4.3300000000000125,0.025087932003572785,2.0,0.0031813361611878754,0.0031813361611878754,-0.0014777285201604817,0.03410581547879321,,,0.016002577596391232,0.034570519618239766,-0.11451942740286314,,,0.022965777762192507,,2006,intraday_regime_features_v0_1,ticker_day,1m_split_normalized_v0_1,1m_raw,D:\ohlcv_1m,E:\TSIS\data\ohlcv_1m_split_normalized
2006-03-03,PD,387,71.375,72.235,72.965,71.1098,3993600.0,72.10865401642629,0.012049036777583177,0.02599229422066545,0.014570928196147248,-0.010004796820393347,0.001752161169794375,142.75,144.47,145.93,142.2196,3.710399999999993,0.023121554603685986,2.0,-0.0017482517482517723,-0.0017482517482517723,-0.01272563801092752,0.017752744902324258,,,0.0022819027558362848,0.030279720279720368,-0.14309468822171312,-0.01272563801092752,0.04030024777729202,0.024026854882882646,,2006,intraday_regime_features_v0_1,ticker_day,1m_split_normalized_v0_1,1m_raw,D:\ohlcv_1m,E:\TSIS\data\ohlcv_1m_split_normalized
2006-03-06,PD,393,71.325,69.1802,72.5,68.46,5792800.0,70.02222928808176,-0.03007080266386264,0.056642131090080705,0.012267788293024884,-0.04579034482758626,-0.012025171101273102,142.65,138.3604,145.0,136.92,8.080000000000013,0.029395741054955245,2.0,-0.01259777116356331,-0.01259777116356331,-0.022476529843075466,0.0030263057975130625,0.008483563096500557,,-0.009889307498604949,0.02568284072817881,1.1776627856834918,-0.022476529843075466,0.039571491036292095,0.023725088123150426,,2006,intraday_regime_features_v0_1,ticker_day,1m_split_normalized_v0_1,1m_raw,D:\ohlcv_1m,E:\TSIS\data\ohlcv_1m_split_normalized
2006-03-07,PD,398,69.105,67.9865,69.25,66.25,7169000.0,67.40593319012414,-0.016185514796324352,0.04341219882787063,-0.017799001519427038,-0.018245487364620838,0.008612992690692822,138.21,135.973,138.5,132.5,6.0,0.025868821447518984,2.0,-0.0010870162271863215,-0.0010870162271863215,-0.04682758620689653,0.00942156003505712,-0.03349650349650346,,-0.019509080590238148,0.058398212205226445,-0.25742574257425854,-0.05290207633797028,0.00942156003505712,0.025868409220738003,,2006,intraday_regime_features_v0_1,ticker_day,1m_split_normalized_v0_1,1m_raw,D:\ohlcv_1m,E:\TSIS\data\ohlcv_1m_split_normalized
2006-03-08,PD,404,67.645,67.515,67.645,65.14,7882000.0,66.34558056838365,-0.001921797619927501,0.03703156183014259,-0.02564860669672553,-0.001921797619927501,0.01762618431548746,135.29,135.03,135.29,130.28,5.009999999999991,0.028115331669682497,2.0,-0.005023056047891994,-0.005023056047891994,-0.02317689530685929,0.02105660377358487,-0.06354260400083067,-0.04354895722870267,-0.0015498154981550272,0.044126407448537575,-0.16500000000000148,-0.07291166997875709,0.02105660377358487,0.026128705702053404,,2006,intraday_regime_features_v0_1,ticker_day,1m_split_normalized_v0_1,1m_raw,D:\ohlcv_1m,E:\TSIS\data\ohlcv_1m_split_normalized
2006-03-09,PD,414,67.875,66.0,69.2,66.0,6316200.0,67.35933174060352,-0.027624309392265234,0.04714548802946597,0.006998158379373676,-0.046242774566474076,-0.020180303240510455,135.75,132.0,138.4,132.0,6.400000000000006,0.0397299911397588,2.0,0.0053321484114641216,0.0053321484114641216,0.003400103481410399,0.04198649063555426,-0.018866669943134018,-0.05069930069930073,0.02232932936702192,0.037102866029771094,0.2774451097804427,-0.06975947372027691,0.04198649063555426,0.027793298057385576,1.492717868384947,2006,intraday_regime_features_v0_1,ticker_day,1m_split_normalized_v0_1,1m_raw,D:\ohlcv_1m,E:\TSIS\data\ohlcv_1m_split_normalized
2006-03-10,PD,404,66.0,68.75,68.875,65.4,7462200.0,67.30795361421563,0.04166666666666674,0.05265151515151507,-0.005681818181818232,-0.001814882032667886,0.021424605984155187,132.0,137.5,137.75,130.8,6.949999999999989,0.02673804844221097,2.0,0.0,0.0,-0.046242774566474076,0.0,-0.02921903613217336,-0.08631549802727212,-0.023668639053254337,0.048484848484848526,0.08593749999999734,-0.09545672582745157,0.013202333435677005,0.03123804808565343,0.31241619482040106,2006,intraday_regime_features_v0_1,ticker_day,1m_split_normalized_v0_1,1m_raw,D:\ohlcv_1m,E:\TSIS\data\ohlcv_1m_split_normalized
2006-03-13,PD,440,68.49,69.0,69.2,66.67,4237200.0,67.93571018833192,0.007446342531756578,0.03693969922616442,-0.00861439626222793,-0.0028901734104046506,0.015666132122820864,68.49,69.0,69.2,66.67,2.530000000000001,0.034769587788369374,1.0,-0.5018909090909092,-0.5018909090909092,-0.5027949183303086,-0.4763761467889909,-0.4927793823594757,-0.5049884215425802,-0.48992738782349665,0.05054545454545446,-0.6359712230215819,-0.5276551724137931,-0.47428615290144305,0.03152779041721742,-85.29103450921237,2006,intraday_regime_features_v0_1,ticker_day,1m_split_normalized_v0_1,1m_raw,D:\ohlcv_1m,E:\TSIS\data\ohlcv_1m_split_normalized
2006-03-14,PD,428,69.14,71.54,71.99,68.1,5002600.0,70.23950239275575,0.034712178189181486,0.05626265548163148,-0.004483656349435927,-0.006250868176135405,0.01851518821947673,69.14,71.54,71.99,68.1,3.8900000000000006,0.02736729484219113,1.0,0.0020289855072463947,0.0020289855072463947,-0.0008670520231214285,0.03704814759262032,-0.4762121212121212,-0.4915166981680187,0.017737543239861653,0.03666666666666668,0.5375494071146241,-0.5007942238267148,0.03704814759262032,0.033745875790113046,0.37449788251992966,2006,intraday_regime_features_v0_1,ticker_day,1m_split_normalized_v0_1,1m_raw,D:\ohlcv_1m,E:\TSIS\data\ohlcv_1m_split_normalized
