ticker,date,sample_stratum,odd_lot_trade_pct,duplicate_exact_ratio_pct_raw,max_trades_same_timestamp_raw,trade_vwap_vs_daily_vw_diff_pct_raw,scale_bucket_vw,scale_bucket_high,outside_daily_regular_pct,core_outside_daily_pct,core_outside_daily_volume_pct,outside_1m_regular_pct,outside_1m_odd_lot_pct,outside_1m_round_lot_pct,core_outside_1m_pct,outside_minutes_pct_active,rows_after_parse,acceptance_label,file,issues_list,warns_list,m.l,m.h,m.vw,m.price_min,m.price_max,m.trade_vwap,m.rows_after_parse,m.ohlcv_1m_found,m.ohlcv_daily_found,m.ohlcv_1m_path,m.ohlcv_daily_path,year_band,signature_band,severity_band,sample_manifest,sample_hash
ANTX,2015-05-27,SOFT_FAIL__control,19.642857142857142,7.142857142857142,4,0.00011273015907017644,~1x,~1x,14.285714285714285,8.88888888888889,69.43759250123335,6.8181818181818175,75.0,0.0,0.0,21.875,56.0,bad_data,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\ANTX\year=2015\month=05\day=2015-05-27\market.parquet,[],['duplicate_excess_ratio_gt_threshold' 'trade_price_outside_1m_range'],53.16,53.29,53.3196,53.06,53.4282,53.319539892730106,56.0,True,True,D:\ohlcv_1m\ticker=ANTX\year=2015\month=05\minute_aggs_ANTX_2015_05.parquet,D:\ohlcv_daily\ticker=ANTX\year=2015\day_aggs_ANTX_2015.parquet,mid,mixed_bad,sev_low,57f_stratified_v0_1,0038d4fa55302caf6343174ddc09cb63b8a3f561
ASTI,2013-02-14,HARD_FAIL__daily_range__confirmed__>5,0.0,2.6490066225165565,3,,nan,>1x_other,100.0,100.0,100.0,,,,,100.0,151.0,bad_data,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\ASTI\year=2013\month=02\day=2013-02-14\market.parquet,['trade_price_outside_daily_range'],"['duplicate_exact_trade_rows_present' 'off_session_trades_present'
 'trade_price_outside_1m_range']",13800000000000.0,14800000000000.0,,0.69,0.74,0.7147082011656236,151.0,True,True,D:\ohlcv_1m\ticker=ASTI\year=2013\month=02\minute_aggs_ASTI_2013_02.parquet,D:\ohlcv_daily\ticker=ASTI\year=2013\day_aggs_ASTI_2013.parquet,mid,mixed_bad,sev_low,57f_stratified_v0_1,005565422dcc1f3b29946a058d01a5e5a2f2c83f
CBAN,2015-02-20,HARD_FAIL__daily_range__confirmed__0.10-0.25,37.5,0.0,7,0.01570132318329429,~1x,~1x,10.0,0.0,0.0,8.571428571428571,20.0,4.0,4.0,37.5,40.0,bad_data,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\CBAN\year=2015\month=02\day=2015-02-20\market.parquet,['trade_price_outside_daily_range'],"['duplicate_excess_ratio_gt_threshold' 'off_session_trades_present'
 'trade_price_outside_1m_range']",7.86,7.99,7.913,7.61,7.99,7.911757554296506,40.0,True,True,D:\ohlcv_1m\ticker=CBAN\year=2015\month=02\minute_aggs_CBAN_2015_02.parquet,D:\ohlcv_daily\ticker=CBAN\year=2015\day_aggs_CBAN_2015.parquet,mid,mixed_bad,sev_low,57f_stratified_v0_1,0045d99f7c4544918bc5295d5aae47fb681c5111
LCUT,2017-05-22,HARD_FAIL__daily_range__confirmed__0.25-0.50,32.28346456692913,0.0,2,0.048605206100802725,~1x,~1x,2.3622047244094486,1.1627906976744187,51.04845676588393,11.304347826086957,41.37931034482759,1.1627906976744187,1.1627906976744187,6.976744186046512,127.0,bad_data,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\LCUT\year=2017\month=05\day=2017-05-22\market.parquet,['trade_price_outside_daily_range'],['duplicate_exact_trade_rows_present' 'trade_price_outside_1m_range'],18.45,18.65,18.7831,18.35,19.05,18.79222956446712,127.0,True,True,D:\ohlcv_1m\ticker=LCUT\year=2017\month=05\minute_aggs_LCUT_2017_05.parquet,D:\ohlcv_daily\ticker=LCUT\year=2017\day_aggs_LCUT_2017.parquet,mid,mixed_bad,sev_low,57f_stratified_v0_1,001b827a80b4499e405732211147104f3dfcd3b2
PMD,2018-01-03,HARD_FAIL__daily_range__confirmed__0.25-0.50,52.38095238095239,0.0,2,0.8335367876066734,~1x,~1x,21.08843537414966,18.571428571428573,12.010471763637335,,,,,28.37837837837838,147.0,bad_data,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\PMD\year=2018\month=01\day=2018-01-03\market.parquet,['trade_price_outside_daily_range'],['off_session_trades_present' 'trade_price_outside_1m_range'],20.0,21.0,20.5,19.8649,21.299,20.670875041459368,147.0,True,True,D:\ohlcv_1m\ticker=PMD\year=2018\month=01\minute_aggs_PMD_2018_01.parquet,D:\ohlcv_daily\ticker=PMD\year=2018\day_aggs_PMD_2018.parquet,mid,mixed_bad,sev_low,57f_stratified_v0_1,003a0e15b42a508e1dba1f6f3966400fcb637f9d
RELV,2018-09-18,HARD_FAIL__daily_range__confirmed__0.05-0.10,76.19047619047619,0.0,2,0.33899626268020455,~1x,~1x,100.0,100.0,100.0,,,,,100.0,21.0,bad_data,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\RELV\year=2018\month=09\day=2018-09-18\market.parquet,['trade_price_outside_daily_range'],['trade_price_outside_1m_range'],5.0,5.0,5.0,4.9,5.03,4.98305018686599,21.0,True,True,D:\ohlcv_1m\ticker=RELV\year=2018\month=09\minute_aggs_RELV_2018_09.parquet,D:\ohlcv_daily\ticker=RELV\year=2018\day_aggs_RELV_2018.parquet,mid,mixed_bad,sev_low,57f_stratified_v0_1,002c0dcf236ae108aeede8ab4403ba0d5e7a96c2
SMIT,2014-06-17,HARD_FAIL__daily_range__confirmed__0.05-0.10,30.0,0.0,3,0.014422157246308083,~1x,~1x,15.0,0.0,0.0,12.5,50.0,7.142857142857142,7.142857142857142,27.272727272727273,20.0,bad_data,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\SMIT\year=2014\month=06\day=2014-06-17\market.parquet,['trade_price_outside_daily_range'],['duplicate_excess_ratio_gt_threshold' 'trade_price_outside_1m_range'],2.8,2.85,2.8427,2.74,2.86,2.8431099786640406,20.0,True,True,D:\ohlcv_1m\ticker=SMIT\year=2014\month=06\minute_aggs_SMIT_2014_06.parquet,D:\ohlcv_daily\ticker=SMIT\year=2014\day_aggs_SMIT_2014.parquet,mid,mixed_bad,sev_low,57f_stratified_v0_1,000af07b63296c56c9e28430c6811c4dd972a6eb
GPRK,2017-03-21,SOFT_FAIL__control,6.971677559912854,0.0,1,0.40481863086995196,~1x,~1x,17.21132897603486,18.26697892271663,33.141887010547606,85.80786026200873,90.32258064516128,85.48009367681499,85.48009367681499,8.19672131147541,459.0,bad_data,D:\trades_ticks_prod_2005_2026\GPRK\year=2017\month=03\day=2017-03-21\market.parquet,[],['trade_price_outside_1m_range'],6.7331,6.9721,6.8726,6.76,7.0,6.900421565225169,459.0,True,True,D:\ohlcv_1m\ticker=GPRK\year=2017\month=03\minute_aggs_GPRK_2017_03.parquet,D:\ohlcv_daily\ticker=GPRK\year=2017\day_aggs_GPRK_2017.parquet,mid,range_break,sev_low,57f_stratified_v0_1,0062dbd024b4fab3e1cd7f903988ee099fd9d73f
PMD,2014-12-18,HARD_FAIL__daily_range__confirmed__0.10-0.25,19.480519480519483,2.5974025974025974,3,0.44136306736720454,~1x,~1x,84.4155844155844,82.25806451612904,87.6236987533736,82.25806451612904,,82.25806451612904,82.25806451612904,74.35897435897436,77.0,bad_data,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\PMD\year=2014\month=12\day=2014-12-18\market.parquet,['trade_price_outside_daily_range'],"['duplicate_excess_ratio_gt_threshold' 'off_session_trades_present'
 'trade_price_outside_1m_range']",14.5,14.5,14.5,14.271,14.65,14.436002355231755,77.0,True,True,D:\ohlcv_1m\ticker=PMD\year=2014\month=12\minute_aggs_PMD_2014_12.parquet,D:\ohlcv_daily\ticker=PMD\year=2014\day_aggs_PMD_2014.parquet,mid,range_break,sev_low,57f_stratified_v0_1,007a558adfa3cbc2fb3f68480cf800f222bee758
PMD,2015-12-30,HARD_FAIL__daily_range__confirmed__0.10-0.25,18.095238095238095,0.0,1,1.2674659608683925,~1x,~1x,7.6190476190476195,8.13953488372093,9.394045534150614,99.02912621359224,100.0,98.83720930232558,98.83720930232558,11.428571428571429,105.0,bad_data,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\PMD\year=2015\month=12\day=2015-12-30\market.parquet,['trade_price_outside_daily_range'],['off_session_trades_present' 'trade_price_outside_1m_range'],9.5,10.0,10.0,9.71,10.2,9.87325340391316,105.0,True,True,D:\ohlcv_1m\ticker=PMD\year=2015\month=12\minute_aggs_PMD_2015_12.parquet,D:\ohlcv_daily\ticker=PMD\year=2015\day_aggs_PMD_2015.parquet,mid,range_break,sev_low,57f_stratified_v0_1,0040bb6e5be48af33354027312064defd6f0887a
