ticker,date,sample_stratum,odd_lot_trade_pct,duplicate_exact_ratio_pct_raw,max_trades_same_timestamp_raw,trade_vwap_vs_daily_vw_diff_pct_raw,scale_bucket_vw,scale_bucket_high,outside_daily_regular_pct,core_outside_daily_pct,core_outside_daily_volume_pct,outside_1m_regular_pct,outside_1m_odd_lot_pct,outside_1m_round_lot_pct,core_outside_1m_pct,outside_minutes_pct_active,rows_after_parse,acceptance_label,file,issues_list,warns_list,m.l,m.h,m.vw,m.price_min,m.price_max,m.trade_vwap,m.rows_after_parse,m.ohlcv_1m_found,m.ohlcv_daily_found,m.ohlcv_1m_path,m.ohlcv_daily_path,year_band,signature_band,severity_band,sample_manifest,sample_hash
IG,2019-03-29,SOFT_FAIL__control,100.0,0.0,1,0.0,~1x,~1x,100.0,,,,,,,100.0,2.0,review_no_1m_reference,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\IG\year=2019\month=03\day=2019-03-29\market.parquet,[],['missing_ohlcv_1m_reference' 'rows_lt_10'],25.32,25.32,25.36,25.36,25.36,25.36,2.0,False,True,D:\ohlcv_1m\ticker=IG\year=2019\month=03\minute_aggs_IG_2019_03.parquet,D:\ohlcv_daily\ticker=IG\year=2019\day_aggs_IG_2019.parquet,recent,daily_gt_5,sev_high,57f_stratified_v0_1,00f647a78fefd6c919bec47f4faec21378435675
IG,2019-04-02,SOFT_FAIL__control,100.0,0.0,1,0.0,~1x,~1x,100.0,,,,,,,100.0,1.0,review_no_1m_reference,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\IG\year=2019\month=04\day=2019-04-02\market.parquet,[],['missing_ohlcv_1m_reference' 'rows_lt_10'],25.15,25.15,25.1678,25.1678,25.1678,25.1678,1.0,False,True,D:\ohlcv_1m\ticker=IG\year=2019\month=04\minute_aggs_IG_2019_04.parquet,D:\ohlcv_daily\ticker=IG\year=2019\day_aggs_IG_2019.parquet,recent,daily_gt_5,sev_high,57f_stratified_v0_1,0081cb876b14bf2181b569a27863b29ae4ec54bb
IG,2019-09-19,SOFT_FAIL__control,100.0,0.0,1,0.0,~1x,~1x,100.0,,,,,,,100.0,2.0,review_no_1m_reference,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\IG\year=2019\month=09\day=2019-09-19\market.parquet,[],['missing_ohlcv_1m_reference' 'rows_lt_10'],26.591,26.591,26.58,26.58,26.58,26.58,2.0,False,True,D:\ohlcv_1m\ticker=IG\year=2019\month=09\minute_aggs_IG_2019_09.parquet,D:\ohlcv_daily\ticker=IG\year=2019\day_aggs_IG_2019.parquet,recent,daily_gt_5,sev_high,57f_stratified_v0_1,00ac6b9e532f7b1377d39dd1fd95801333f1f158
IRET,2024-10-04,SOFT_FAIL__control,100.0,0.0,1,0.013501859096723003,~1x,~1x,100.0,,,,,,,100.0,18.0,review_no_1m_reference,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\IRET\year=2024\month=10\day=2024-10-04\market.parquet,[],['missing_ohlcv_1m_reference'],22.2328,22.2328,22.1613,22.04,22.26,22.1583078125,18.0,False,True,D:\ohlcv_1m\ticker=IRET\year=2024\month=10\minute_aggs_IRET_2024_10.parquet,D:\ohlcv_daily\ticker=IRET\year=2024\day_aggs_IRET_2024.parquet,recent,daily_gt_5,sev_high,57f_stratified_v0_1,0049a55d9243ee1ba4e9455571076bfcf3720e92
ITIC,2023-08-16,HARD_FAIL__daily_range__unconfirmed__1-5,100.0,0.0,2,0.055610838856835654,~1x,~1x,96.20253164556962,,,,,,,98.82352941176471,158.0,review_no_1m_reference,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\ITIC\year=2023\month=08\day=2023-08-16\market.parquet,['trade_price_outside_daily_range'],['missing_ohlcv_1m_reference'],150.99,150.99,151.289,149.25,155.0,151.3731330819981,158.0,False,True,D:\ohlcv_1m\ticker=ITIC\year=2023\month=08\minute_aggs_ITIC_2023_08.parquet,D:\ohlcv_daily\ticker=ITIC\year=2023\day_aggs_ITIC_2023.parquet,recent,daily_gt_5,sev_high,57f_stratified_v0_1,00f968e22ab17e0955e6977c32daed9946d718da
JIVE,2023-11-14,SOFT_FAIL__control,100.0,0.0,1,0.2891367203634873,~1x,~1x,100.0,,,,,,,100.0,2.0,review_no_1m_reference,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\JIVE\year=2023\month=11\day=2023-11-14\market.parquet,[],['missing_ohlcv_1m_reference' 'rows_lt_10'],48.56,48.56,48.42,48.28,48.28,48.28,2.0,False,True,D:\ohlcv_1m\ticker=JIVE\year=2023\month=11\minute_aggs_JIVE_2023_11.parquet,D:\ohlcv_daily\ticker=JIVE\year=2023\day_aggs_JIVE_2023.parquet,recent,daily_gt_5,sev_high,57f_stratified_v0_1,0090a4b5e80279e3f91773381bce18cefbb36a11
KOOL,2025-11-05,SOFT_FAIL__control,100.0,0.0,1,0.026881347501435098,~1x,~1x,100.0,,,,,,,100.0,11.0,review_no_1m_reference,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\KOOL\year=2025\month=11\day=2025-11-05\market.parquet,[],['missing_ohlcv_1m_reference'],12.7546,12.7546,12.7531,12.68,12.83,12.756528205128205,11.0,False,True,D:\ohlcv_1m\ticker=KOOL\year=2025\month=11\minute_aggs_KOOL_2025_11.parquet,D:\ohlcv_daily\ticker=KOOL\year=2025\day_aggs_KOOL_2025.parquet,recent,daily_gt_5,sev_high,57f_stratified_v0_1,005f7a1614462ff31b82634d6baa9820c6048129
MGYR,2024-10-07,HARD_FAIL__daily_range__unconfirmed__0.10-0.25,100.0,0.0,1,0.09111183675358997,~1x,~1x,65.71428571428571,,,,,,,53.57142857142857,70.0,review_no_1m_reference,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\MGYR\year=2024\month=10\day=2024-10-07\market.parquet,['trade_price_outside_daily_range'],['missing_ohlcv_1m_reference'],12.17,12.17,12.2188,12.15,12.332,12.229932773109248,70.0,False,True,D:\ohlcv_1m\ticker=MGYR\year=2024\month=10\minute_aggs_MGYR_2024_10.parquet,D:\ohlcv_daily\ticker=MGYR\year=2024\day_aggs_MGYR_2024.parquet,recent,daily_gt_5,sev_high,57f_stratified_v0_1,000c556bbec0b4c08688f43bf302621c72277405
OMCC,2025-01-22,HARD_FAIL__daily_range__unconfirmed__0.10-0.25,100.0,0.0,1,0.5160658871558023,~1x,~1x,100.0,,,,,,,100.0,54.0,review_no_1m_reference,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\OMCC\year=2025\month=01\day=2025-01-22\market.parquet,['trade_price_outside_daily_range'],['missing_ohlcv_1m_reference' 'off_session_trades_present'],6.45,6.45,6.411,6.31,6.6,6.377915015974441,54.0,False,True,D:\ohlcv_1m\ticker=OMCC\year=2025\month=01\minute_aggs_OMCC_2025_01.parquet,D:\ohlcv_daily\ticker=OMCC\year=2025\day_aggs_OMCC_2025.parquet,recent,daily_gt_5,sev_high,57f_stratified_v0_1,01d1f602c4e2853da9bb8272900b36e287571d7b
QETA,2026-03-04,HARD_FAIL__daily_range__unconfirmed__0.25-0.50,100.0,0.0,1,1.7691568530389592,~1x,~1x,100.0,,,,,,,100.0,7.0,review_no_1m_reference,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\QETA\year=2026\month=03\day=2026-03-04\market.parquet,['trade_price_outside_daily_range'],['missing_ohlcv_1m_reference' 'rows_lt_10'],11.31,11.31,11.3128,11.49,11.59,11.51294117647059,7.0,False,True,D:\ohlcv_1m\ticker=QETA\year=2026\month=03\minute_aggs_QETA_2026_03.parquet,D:\ohlcv_daily\ticker=QETA\year=2026\day_aggs_QETA_2026.parquet,recent,daily_gt_5,sev_high,57f_stratified_v0_1,013622f0db15a2a6c914a1c9172c8464688bb170
SPAQ,2025-06-09,SOFT_FAIL__control,100.0,0.0,1,0.05439346515001351,~1x,~1x,100.0,,,,,,,100.0,3.0,review_no_1m_reference,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\SPAQ\year=2025\month=06\day=2025-06-09\market.parquet,[],['missing_ohlcv_1m_reference' 'rows_lt_10'],104.83,104.83,104.792,104.735,104.735,104.735,3.0,False,True,D:\ohlcv_1m\ticker=SPAQ\year=2025\month=06\minute_aggs_SPAQ_2025_06.parquet,D:\ohlcv_daily\ticker=SPAQ\year=2025\day_aggs_SPAQ_2025.parquet,recent,daily_gt_5,sev_high,57f_stratified_v0_1,0031f9cfee469409e547ea2f5eb9ca508622fd91
SPAQ,2025-06-10,SOFT_FAIL__control,100.0,0.0,1,0.43107577354151605,~1x,~1x,100.0,,,,,,,100.0,3.0,review_no_1m_reference,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\SPAQ\year=2025\month=06\day=2025-06-10\market.parquet,[],['missing_ohlcv_1m_reference' 'rows_lt_10'],104.09,104.09,104.39,104.84,104.84,104.83999999999999,3.0,False,True,D:\ohlcv_1m\ticker=SPAQ\year=2025\month=06\minute_aggs_SPAQ_2025_06.parquet,D:\ohlcv_daily\ticker=SPAQ\year=2025\day_aggs_SPAQ_2025.parquet,recent,daily_gt_5,sev_high,57f_stratified_v0_1,00f1214740f81a82769f2ae6b9548818d5ef610a
TAX,2025-06-10,SOFT_FAIL__control,100.0,0.0,1,0.0054946152770263545,~1x,~1x,100.0,,,,,,,100.0,6.0,review_no_1m_reference,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\TAX\year=2025\month=06\day=2025-06-10\market.parquet,[],['missing_ohlcv_1m_reference' 'rows_lt_10'],25.0298,25.0298,25.0245,24.99,25.08,25.023125,6.0,False,True,D:\ohlcv_1m\ticker=TAX\year=2025\month=06\minute_aggs_TAX_2025_06.parquet,D:\ohlcv_daily\ticker=TAX\year=2025\day_aggs_TAX_2025.parquet,recent,daily_gt_5,sev_high,57f_stratified_v0_1,017e2c35abff83c443c6c5792c7f68510c8806ee
TCBC,2023-07-10,HARD_FAIL__daily_range__unconfirmed__0.10-0.25,100.0,0.0,1,0.7750590718187034,~1x,~1x,100.0,,,,,,,100.0,15.0,review_no_1m_reference,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\TCBC\year=2023\month=07\day=2023-07-10\market.parquet,['trade_price_outside_daily_range'],['missing_ohlcv_1m_reference'],14.2,14.2,14.2623,14.2164,14.38,14.372841249999999,15.0,False,True,D:\ohlcv_1m\ticker=TCBC\year=2023\month=07\minute_aggs_TCBC_2023_07.parquet,D:\ohlcv_daily\ticker=TCBC\year=2023\day_aggs_TCBC_2023.parquet,recent,daily_gt_5,sev_high,57f_stratified_v0_1,011ca01318b70976fb8d7844ffb246e83fad01e9
VALU,2019-11-26,HARD_FAIL__daily_range__unconfirmed__0.50-1,100.0,0.0,1,0.6114041655644963,~1x,~1x,94.73684210526315,,,,,,,90.9090909090909,19.0,review_no_1m_reference,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\VALU\year=2019\month=11\day=2019-11-26\market.parquet,['trade_price_outside_daily_range'],['missing_ohlcv_1m_reference' 'off_session_trades_present'],27.63,27.63,27.5476,27.0,27.92,27.379172826086954,19.0,False,True,D:\ohlcv_1m\ticker=VALU\year=2019\month=11\minute_aggs_VALU_2019_11.parquet,D:\ohlcv_daily\ticker=VALU\year=2019\day_aggs_VALU_2019.parquet,recent,daily_gt_5,sev_high,57f_stratified_v0_1,01216119d2b67852aa236f1b69360ef1f1bfd796
WTRE,2023-08-03,SOFT_FAIL__control,100.0,0.0,1,0.1092720328778008,~1x,~1x,100.0,,,,,,,100.0,19.0,review_no_1m_reference,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\WTRE\year=2023\month=08\day=2023-08-03\market.parquet,[],['missing_ohlcv_1m_reference'],17.0162,17.0162,16.9601,16.9,17.045,16.941567353951893,19.0,False,True,D:\ohlcv_1m\ticker=WTRE\year=2023\month=08\minute_aggs_WTRE_2023_08.parquet,D:\ohlcv_daily\ticker=WTRE\year=2023\day_aggs_WTRE_2023.parquet,recent,daily_gt_5,sev_high,57f_stratified_v0_1,01d18a1d8a7f52088b98e02b334cbd2fe379e252
