artifact_name,relative_path,bytes,sha256,consumption
00_reference_current_state.md,01_research/01_auditoria_RAW_DATA/00_data_certification/certification/reference/00_reference_current_state.md,2500,60fe3224398287aca2ae71751f949ef067bd54fe702436f3fa4eaf60802c6148,certification_source
01_reference_causal_value.md,01_research/01_auditoria_RAW_DATA/00_data_certification/certification/reference/01_reference_causal_value.md,2371,e74ec27fd84e2b64f8a962e544920e2f097fc742d0375fb9e6be3a4fbe00a440,certification_source
02_reference_closeout.md,01_research/01_auditoria_RAW_DATA/00_data_certification/certification/reference/02_reference_closeout.md,1179,15260523bbd3f3d059d4a6a52462ff6dc2fe5171499dcfc9e799b05b053e141d,certification_source
reference_causal.csv,01_research/01_auditoria_RAW_DATA/00_data_certification/certification/global_metrics/reference_causal.csv,1298,04f4bd643f6bf014bbe1f2f0f0db380aac91196d3f3afc54fcff32d67cabe931,global_metric_source
reference_causal.parquet,01_research/01_auditoria_RAW_DATA/00_data_certification/certification/global_metrics/reference_causal.parquet,4623,0f529a5b4d209810e4c299f3b04bf77b45a3181e437ad9cd245d802d8aa6b21f,global_metric_source
reference_identity.csv,01_research/01_auditoria_RAW_DATA/00_data_certification/certification/global_metrics/reference_identity.csv,336,d9eb1670194865bab7e39b092ca6c2f5049f20f8f373f4323a369f34557d1a57,global_metric_source
reference_identity.parquet,01_research/01_auditoria_RAW_DATA/00_data_certification/certification/global_metrics/reference_identity.parquet,6383,f4adfb70142bfb5deb2597ddb57018a13bd317cf57959ff62a0929f3e8ed7e90,global_metric_source
