open,close,high,low,datetime,date
12531.59963443649,12687.89356894175,12689.33835950718,12486.41675415109,1970-01-01 00:27:56.440800,1970-01-01
12495.07350788894,12442.48063825075,12653.3993903872,12439.99808840221,1970-01-01 00:27:56.527200,1970-01-01
12352.30230525256,12358.18488945432,12385.51884823962,12233.79353068963,1970-01-01 00:27:56.613600,1970-01-01
12205.21205448439,12060.2983832331,12257.06168856455,12058.23048547506,1970-01-01 00:27:56.959200,1970-01-01
12085.67432708806,12066.27182303612,12156.21386217595,12006.0375472456,1970-01-01 00:27:57.045600,1970-01-01
12224.44420525394,12180.13996434736,12227.40268583019,12003.30552743902,1970-01-01 00:27:57.132000,1970-01-01
11979.79942470478,11969.651998091,12018.3206363646,11900.83850288913,1970-01-01 00:27:57.218400,1970-01-01
12106.79164897594,12057.78835428847,12159.63814875917,12034.61255297615,1970-01-01 00:27:57.477600,1970-01-01
12041.74638923655,12042.11647933587,12146.52316308931,12021.32096258543,1970-01-01 00:27:57.564000,1970-01-01
12026.71970243576,11938.56660707314,12054.4766806082,11906.57881563152,1970-01-01 00:27:57.650400,1970-01-01
11830.09370712622,12044.86908702728,12074.58737663047,11830.09370712622,1970-01-01 00:27:57.736800,1970-01-01
12110.70528658757,12290.80724226552,12300.45685676564,12095.24156254328,1970-01-01 00:27:57.823200,1970-01-01
12344.64891551357,12302.48444421607,12466.87659439047,12297.56501537421,1970-01-01 00:27:58.082400,1970-01-01
12303.19030281062,12152.17006352639,12344.04492732496,12130.00638141365,1970-01-01 00:27:58.168800,1970-01-01
12181.05780426608,12215.332571401,12237.72007280387,12102.27673210719,1970-01-01 00:27:58.255200,1970-01-01
12230.83658266843,11995.88235998666,12340.44936267155,11970.34221717375,1970-01-01 00:27:58.341600,1970-01-01
12001.69552583921,11830.28178808306,12069.62262033557,11789.85923449393,1970-01-01 00:27:58.428000,1970-01-01
11752.09646595808,11923.16717411544,12073.95498873291,11695.41307336048,1970-01-01 00:27:58.683600,1970-01-01
12078.4620669189,12199.78646849645,12217.87144341241,12035.21710547149,1970-01-01 00:27:58.770000,1970-01-01
12083.23910077472,12251.32123450554,12269.44634370725,12026.18070913052,1970-01-01 00:27:58.856400,1970-01-01
