relative_path,timestamp,open,high,low,close,volume,vwap
etfs/UVXY/minute.parquet,2018-05-01 20:45:00,181862.5,181862.0,181862.5,181862.5,0.096,181862.5
etfs/UVXY/minute.parquet,2018-05-02 11:42:00,181062.5,181062.0,181062.5,181062.5,0.0161,181063.5
etfs/UVXY/minute.parquet,2018-05-02 12:29:00,182001.25,182001.0,182001.25,182001.25,0.008,182001.25
etfs/UVXY/minute.parquet,2018-05-02 22:23:00,184937.5,184937.0,184937.5,184937.5,0.024,184937.5
etfs/UVXY/minute.parquet,2018-05-07 22:25:00,178437.5,178437.0,178437.5,178437.5,0.024,178437.5
etfs/UVXY/minute.parquet,2018-05-08 13:24:00,178873.75,178873.0,178873.75,178873.75,0.0816,178873.75
etfs/UVXY/minute.parquet,2018-05-08 13:27:00,179123.75,179123.0,179123.75,179123.75,0.043,179123.75
etfs/UVXY/minute.parquet,2018-05-09 08:04:00,173937.5,173937.0,173937.5,173937.5,0.032,173937.5
etfs/UVXY/minute.parquet,2018-05-11 12:27:00,154248.75,154248.0,154248.75,154248.75,0.016,154248.75
etfs/UVXY/minute.parquet,2018-05-23 23:32:00,138062.5,138062.0,138062.5,138062.5,0.008,138062.5
