timestamp,open,high,low,close,volume,vwap
2004-01-02 13:00:00,111.85,111.85,111.85,111.85,800.0,111.85
2004-01-02 13:01:00,111.82,111.82,111.82,111.82,200.0,111.82
2004-01-02 13:03:00,111.83,111.83,111.83,111.83,200.0,111.83
2004-01-02 13:04:00,111.81,111.81,111.8,111.8,3300.0,111.8015
2004-01-02 13:06:00,111.85,111.85,111.85,111.85,700.0,111.85
2004-01-02 13:07:00,111.85,111.85,111.85,111.85,300.0,111.85
2004-01-02 13:09:00,111.83,111.83,111.83,111.83,300.0,111.83
2004-01-02 13:13:00,111.86,111.86,111.86,111.86,200.0,111.86
2004-01-02 13:17:00,111.86,111.86,111.86,111.86,300.0,111.86
2004-01-02 13:18:00,111.85,111.85,111.85,111.85,200.0,111.85
2004-01-02 13:21:00,111.87,111.87,111.87,111.87,200.0,111.87
2004-01-02 13:22:00,111.86,111.86,111.86,111.86,300.0,111.86
2004-01-02 13:23:00,111.85,111.85,111.85,111.85,2400.0,111.85
2004-01-02 13:24:00,111.83,111.83,111.83,111.83,2100.0,111.83
2004-01-02 13:25:00,111.83,111.83,111.83,111.83,100.0,111.83
2004-01-02 13:27:00,111.82,111.82,111.82,111.82,200.0,111.82
2004-01-02 13:31:00,111.82,111.83,111.82,111.82,2500.0,111.826
2004-01-02 13:32:00,111.79,111.79,111.78,111.78,5700.0,111.7802
2004-01-02 13:33:00,111.8,111.8,111.8,111.8,2800.0,111.8
2004-01-02 13:36:00,111.83,111.83,111.83,111.83,100.0,111.83
