volume,vwap,open,close,high,low,trades,datetime,date
45953600.0,102.2045,102.53,101.96,102.8,101.55,25963,1970-01-01 00:17:43.166400,1970-01-01
38801600.0,102.3183,102.1,102.26,102.76,101.84,22593,1970-01-01 00:17:43.252800,1970-01-01
42443200.0,101.9117,101.91,102.45,102.64,101.35,26100,1970-01-01 00:17:43.339200,1970-01-01
21321900.0,102.2625,102.52,102.09,102.63,101.95,15676,1970-01-01 00:17:43.598400,1970-01-01
37956300.0,103.0474,102.232,103.58,103.64,102.17,19077,1970-01-01 00:17:43.684800,1970-01-01
32073000.0,103.4136,103.48,103.38,103.785,103.05,20138,1970-01-01 00:17:43.771200,1970-01-01
30295300.0,104.1283,103.4,104.6,104.7,103.17,20383,1970-01-01 00:17:43.857600,1970-01-01
34385900.0,103.863,104.27,103.67,104.6,103.4,18858,1970-01-01 00:17:43.944000,1970-01-01
36704300.0,102.5874,102.85,102.55,102.96,102.03,21869,1970-01-01 00:17:44.203200,1970-01-01
32514100.0,102.7944,102.59,102.94,103.29,102.36,22417,1970-01-01 00:17:44.289600,1970-01-01
41720700.0,101.873,103.118,101.11,103.22,101.07,29310,1970-01-01 00:17:44.376000,1970-01-01
53188100.0,101.1641,101.41,100.28,101.88,100.2,36662,1970-01-01 00:17:44.462400,1970-01-01
42916300.0,100.2581,100.44,99.95,100.66,99.846,32243,1970-01-01 00:17:44.548800,1970-01-01
36793100.0,100.4982,100.3,100.93,100.99,99.79,28519,1970-01-01 00:17:44.808000,1970-01-01
70777300.0,99.9353,100.48,99.95,100.76,99.25,49874,1970-01-01 00:17:44.894400,1970-01-01
65806400.0,101.2696,100.24,102.08,102.18,100.2,42917,1970-01-01 00:17:44.980800,1970-01-01
44639600.0,102.1562,101.93,102.45,102.56,101.63,30465,1970-01-01 00:17:45.067200,1970-01-01
48822200.0,103.7131,103.67,103.39,104.28,103.08,34444,1970-01-01 00:17:45.153600,1970-01-01
20246500.0,103.5426,103.482,103.86,103.99,103.2,17081,1970-01-01 00:17:45.412800,1970-01-01
42636600.0,103.6132,103.26,104.26,104.31,102.91,29585,1970-01-01 00:17:45.499200,1970-01-01
