tickers,cik,period_end,filing_date,fiscal_quarter,fiscal_year,timeframe,revenue,cost_of_revenue,gross_profit,selling_general_administrative,research_development,other_operating_expenses,total_operating_expenses,operating_income,interest_expense,interest_income,other_income_expense,total_other_income_expense,income_before_income_taxes,income_taxes,consolidated_net_income_loss,net_income_loss_attributable_common_shareholders,basic_earnings_per_share,diluted_earnings_per_share,basic_shares_outstanding,diluted_shares_outstanding,ebitda,discontinued_operations,ticker,_dataset,_ingested_utc
['A'],0001090872,2010-01-31,2011-03-09,1,2010,quarterly,1213000000.0,553000000.0,660000000.0,417000000.0,149000000.0,0.0,566000000.0,94000000.0,-23000000.0,3000000.0,9000000.0,-11000000.0,83000000.0,4000000.0,79000000.0,79000000.0,0.16,0.16,486503999.99999994,494891999.99999994,133000000.0,,A,income_statements,2026-03-08T12:38:20.319670+00:00
['A'],0001090872,2010-04-30,2011-06-07,2,2010,quarterly,1271000000.0,560000000.0,711000000.0,407000000.0,150000000.0,0.0,557000000.0,154000000.0,-22000000.0,3000000.0,4000000.0,-15000000.0,139000000.0,31000000.0,108000000.0,108000000.0,0.22,0.22,486503999.99999994,494891999.99999994,190000000.0,,A,income_statements,2026-03-08T12:38:20.319670+00:00
['A'],0001090872,2010-07-31,2011-09-07,3,2010,quarterly,1384000000.0,659000000.0,725000000.0,456000000.0,154000000.0,0.0,610000000.0,115000000.0,-24000000.0,3000000.0,133000000.0,112000000.0,227000000.0,22000000.0,205000000.0,205000000.0,0.42,0.41,485105999.99999994,492095999.99999994,175000000.0,,A,income_statements,2026-03-08T12:38:20.319670+00:00
['A'],0001090872,2010-10-31,2012-12-20,4,2010,trailing_twelve_months,5444000000.0,2514000000.0,2930000000.0,1752000000.0,612000000.0,0.0,2364000000.0,566000000.0,-96000000.0,20000000.0,202000000.0,126000000.0,692000000.0,8000000.0,684000000.0,684000000.0,1.4,1.38,485804999.99999994,493843499.99999994,768000000.0,,A,income_statements,2026-03-08T12:38:20.319670+00:00
['A'],0001090872,2010-10-31,2012-12-20,4,2010,annual,5444000000.0,2514000000.0,2930000000.0,1752000000.0,612000000.0,0.0,2364000000.0,566000000.0,-96000000.0,20000000.0,202000000.0,126000000.0,692000000.0,8000000.0,684000000.0,684000000.0,1.41,1.39,485105999.99999994,493493999.99999994,768000000.0,,A,income_statements,2026-03-08T12:38:20.319670+00:00
