experiment_id,sweep_id,scanner_config_id,builder_id,ticker,session_date,scanner_gate_ts_utc,scanner_gate_ts_et,scanner_gate_price,scanner_gate_prior_close_pct,scanner_gate_accumulated_volume,scanner_gate_bar_index,prior_close,reference_price,threshold_pct,min_volume,min_price,max_price,max_market_cap,market_cap,market_cap_asof,market_cap_source_state,market_cap_gate_state,price_gate_state,volume_gate_state,threshold_gate_state,quote_guarded_join_state,quote_guarded_repair_applied_at_gate,repair_state_at_gate,repair_reason_at_gate,source_raw_ohlcv_file,source_ohlcv_path_from_manifest,source_quote_guarded_run_root,created_utc,candidate_events_legacy_used,old_das_run_used
EXP_DAS_FRONTSIDE_DISCOVERY_0002,threshold_50_vol_500000_snapshot_allowed_flagged,build_2026_scanner_from_quote_guarded_1m_v0_1__2026__premarket__close_vs_prior_close,build_2026_scanner_from_quote_guarded_1m_v0_1,CJMB,2026-01-15,2026-01-15T13:46:00+00:00,2026-01-15T08:46:00-05:00,3.18,183.9285714285714,1673249.0,4,1.12,prior_close,50.0,500000.0,0.5,20.0,100000000.0,8090297.25,2026-03-09,future_snapshot_review,pass_future_snapshot_review,pass,pass,pass,joined_or_raw_fallback,True,quote_repairable_ohlc,low_below_quote_bid_floor,E:\TSIS\data\ohlcv_1m\ticker=CJMB\year=2026\month=01\minute_aggs_CJMB_2026_01.parquet,E:\TSIS\data\ohlcv_1m\ticker=CJMB\year=2026\month=01\minute_aggs_CJMB_2026_01.parquet,C:\TSIS_Data\01_TSIS_DATA_FOUNDATION\runs\data_foundation\ohlcv_1m_quote_guarded\quote_guarded_v0_2_20260627_091838,2026-07-06T16:02:44.165860+00:00,False,False
EXP_DAS_FRONTSIDE_DISCOVERY_0002,threshold_50_vol_500000_snapshot_allowed_flagged,build_2026_scanner_from_quote_guarded_1m_v0_1__2026__premarket__close_vs_prior_close,build_2026_scanner_from_quote_guarded_1m_v0_1,PRFX,2026-02-11,2026-02-11T13:32:00+00:00,2026-02-11T08:32:00-05:00,4.8491,64.37627118644068,1435101.0,9,2.95,prior_close,50.0,500000.0,0.5,20.0,100000000.0,2051638.1600000001,2026-03-09,future_snapshot_review,pass_future_snapshot_review,pass,pass,pass,joined_or_raw_fallback,False,manifest_no_row_for_bar,,E:\TSIS\data\ohlcv_1m\ticker=PRFX\year=2026\month=02\minute_aggs_PRFX_2026_02.parquet,,,2026-07-06T16:14:07.477252+00:00,False,False
EXP_DAS_FRONTSIDE_DISCOVERY_0002,threshold_50_vol_500000_snapshot_allowed_flagged,build_2026_scanner_from_quote_guarded_1m_v0_1__2026__premarket__close_vs_prior_close,build_2026_scanner_from_quote_guarded_1m_v0_1,TWG,2026-01-20,2026-01-20T11:51:00+00:00,2026-01-20T06:51:00-05:00,7.89,126.72413793103448,525696.0,3,3.48,prior_close,50.0,500000.0,0.5,20.0,100000000.0,84844631.5,2026-03-09,future_snapshot_review,pass_future_snapshot_review,pass,pass,pass,joined_or_raw_fallback,False,manifest_no_row_for_bar,,E:\TSIS\data\ohlcv_1m\ticker=TWG\year=2026\month=01\minute_aggs_TWG_2026_01.parquet,,,2026-07-06T16:25:45.615349+00:00,False,False
EXP_DAS_FRONTSIDE_DISCOVERY_0002,threshold_50_vol_500000_snapshot_allowed_flagged,build_2026_scanner_from_quote_guarded_1m_v0_1__2026__premarket__close_vs_prior_close,build_2026_scanner_from_quote_guarded_1m_v0_1,ROLR,2026-01-14,2026-01-14T13:19:00+00:00,2026-01-14T08:19:00-05:00,7.6721,117.95738636363637,1439244.0,25,3.52,prior_close,50.0,500000.0,0.5,20.0,100000000.0,48896540.02,2026-03-09,future_snapshot_review,pass_future_snapshot_review,pass,pass,pass,joined_or_raw_fallback,True,quote_repairable_ohlc,low_below_quote_bid_floor,E:\TSIS\data\ohlcv_1m\ticker=ROLR\year=2026\month=01\minute_aggs_ROLR_2026_01.parquet,E:\TSIS\data\ohlcv_1m\ticker=ROLR\year=2026\month=01\minute_aggs_ROLR_2026_01.parquet,C:\TSIS_Data\01_TSIS_DATA_FOUNDATION\runs\data_foundation\ohlcv_1m_quote_guarded\quote_guarded_v0_2_20260627_091838,2026-07-06T16:57:39.110833+00:00,False,False
