date,ticker,bar_count_raw,open_raw,close_raw,high_raw,low_raw,cum_volume_session_raw,session_vwap_raw,intraday_return_since_open_raw,session_range_pct_raw,opening_drive_30m_raw,pullback_from_session_high_raw,session_vwap_distance_raw,open_norm,close_norm,high_norm,low_norm,session_range_abs_norm,realized_vol_1d_norm,max_future_split_factor_in_day,gap_open_vs_prev_close,open_vs_prev_session_close,open_vs_prev_session_high,open_vs_prev_session_low,multi_session_return_3d_to_open,multi_session_return_5d_to_open,distance_to_prev_day_range_center,prev_day_range_pct_norm,range_expansion_vs_prev_day_norm,distance_to_n_day_high_5,distance_to_n_day_low_5,realized_vol_prev_3_sessions_norm,overnight_gap_zscore_20,year,feature_contract,feature_grain,cross_session_price_view,intraday_price_view,source_raw_root,source_split_normalized_root
2022-11-01,BXRX,133,8.0,8.28,8.32,7.244,15925.325,7.819973902416434,0.03499999999999992,0.13450000000000006,-0.00649999999999995,-0.004807692307692402,0.058827063021452464,0.2,0.207,0.20800000000000002,0.1811,0.026900000000000007,0.18114959543778986,0.025,,,,,,,,,,,,,,2022,intraday_regime_features_v0_1,ticker_day,1m_split_normalized_v0_1,1m_raw,D:\ohlcv_1m,E:\TSIS\data\ohlcv_1m_split_normalized
2022-11-02,BXRX,100,7.9,7.96,8.3,7.6,6278.025000000001,7.778649805870477,0.0075949367088608,0.08860759493670899,0.027341772151898702,-0.04096385542168679,0.02331383963225342,0.1975,0.199,0.20750000000000002,0.19,0.017500000000000016,0.20423612497019597,0.025,-0.045893719806763156,-0.045893719806763156,-0.050480769230769273,0.09055770292655985,,,0.015163197121562666,0.12995169082125607,-0.3494423791821557,,,0.18114959543778986,,2022,intraday_regime_features_v0_1,ticker_day,1m_split_normalized_v0_1,1m_raw,D:\ohlcv_1m,E:\TSIS\data\ohlcv_1m_split_normalized
2022-11-03,BXRX,150,7.816,7.72,8.4,7.64,9674.875,7.9555276623729,-0.0122824974411464,0.09723643807574216,0.0051177072671442225,-0.080952380952381,-0.029605536221924078,0.19540000000000002,0.193,0.21000000000000002,0.191,0.019000000000000017,0.21778172003909196,0.025,-0.018090452261306456,-0.018090452261306456,-0.05831325301204815,0.028421052631579125,,,-0.016855345911949593,0.08793969849246239,0.08571428571428563,-0.060576923076923084,0.078961899503037,0.1926928602039929,,2022,intraday_regime_features_v0_1,ticker_day,1m_split_normalized_v0_1,1m_raw,D:\ohlcv_1m,E:\TSIS\data\ohlcv_1m_split_normalized
2022-11-04,BXRX,72,7.56,8.148,8.38,7.44,3359.3999999999996,7.846378620438175,0.07777777777777772,0.1243386243386244,0.029100529100529293,-0.027684964200477502,0.0384408392906459,0.189,0.2037,0.20950000000000002,0.18600000000000003,0.023499999999999993,0.21113744976808907,0.025,-0.020725388601036232,-0.020725388601036232,-0.10000000000000009,-0.010471204188481686,-0.08695652173913038,,-0.057356608478803084,0.09844559585492237,0.2368421052631564,-0.10000000000000009,0.04362230811706236,0.20105581348235926,,2022,intraday_regime_features_v0_1,ticker_day,1m_split_normalized_v0_1,1m_raw,D:\ohlcv_1m,E:\TSIS\data\ohlcv_1m_split_normalized
2022-11-07,BXRX,86,7.8,8.08,8.08,6.884,10380.475000000002,7.488782944181261,0.03589743589743599,0.1533333333333333,-0.10717948717948711,0.0,0.07894701451830843,0.195,0.202,0.202,0.17210000000000003,0.029899999999999982,0.22043723972012041,0.025,-0.04270986745213545,-0.04270986745213545,-0.06921241050119342,0.048387096774193505,-0.02010050251256279,,-0.01390644753476622,0.11536573392243492,0.2723404255319144,-0.07142857142857151,0.07675317504141366,0.21105176492579233,,2022,intraday_regime_features_v0_1,ticker_day,1m_split_normalized_v0_1,1m_raw,D:\ohlcv_1m,E:\TSIS\data\ohlcv_1m_split_normalized
2022-11-08,BXRX,158,8.0,6.22,8.36,6.0,12428.275000000001,7.007818228193373,-0.22250000000000003,0.29499999999999993,-0.09950000000000003,-0.2559808612440191,-0.11241990053678574,0.2,0.1555,0.209,0.15000000000000002,0.05899999999999997,0.3119572842087437,0.025,-0.00990099009900991,-0.00990099009900991,-0.00990099009900991,0.16211504938988952,0.0362694300518136,-0.033816425120772875,0.06923282544774123,0.14801980198019793,0.9732441471571909,-0.04761904761904767,0.16211504938988952,0.21645213650910047,,2022,intraday_regime_features_v0_1,ticker_day,1m_split_normalized_v0_1,1m_raw,D:\ohlcv_1m,E:\TSIS\data\ohlcv_1m_split_normalized
2022-11-09,BXRX,273,6.22,5.588,7.2,5.312,42818.625,5.752257606240275,-0.1016077170418006,0.3035369774919614,0.045016077170418,-0.22388888888888892,-0.02855532861777299,0.1555,0.13970000000000002,0.18000000000000002,0.1328,0.04720000000000002,0.2979791610058334,0.025,0.0,0.0,-0.2559808612440191,0.0366666666666664,-0.2366224840451644,-0.2185929648241206,-0.13370473537604455,0.3794212218649516,-0.1999999999999993,-0.2595238095238096,0.0366666666666664,0.2478439912323177,1.7250993645962132,2022,intraday_regime_features_v0_1,ticker_day,1m_split_normalized_v0_1,1m_raw,D:\ohlcv_1m,E:\TSIS\data\ohlcv_1m_split_normalized
2022-11-10,BXRX,193,5.584,5.88,5.956,5.28,23952.0,5.535253160800768,0.05300859598853869,0.12106017191977081,-0.0179083094555873,-0.012760241773002057,0.062282036464138546,0.1396,0.147,0.1489,0.132,0.0169,0.3143206486336059,0.025,-0.000715819613457569,-0.000715819613457569,-0.22444444444444456,0.051204819277108404,-0.30891089108910896,-0.27668393782383416,-0.10741687979539649,0.337866857551897,-0.6419491525423731,-0.33523809523809533,0.051204819277108404,0.27679122831156583,1.2232945796258992,2022,intraday_regime_features_v0_1,ticker_day,1m_split_normalized_v0_1,1m_raw,D:\ohlcv_1m,E:\TSIS\data\ohlcv_1m_split_normalized
2022-11-11,BXRX,228,5.604,5.92,5.956,5.4,10061.15,5.704513788185248,0.05638829407566015,0.09921484653818702,-0.009992862241256284,-0.006044325050369448,0.037774685067998304,0.1401,0.148,0.1489,0.135,0.013899999999999996,0.27506585773312486,0.025,-0.04693877551020398,-0.04693877551020398,-0.05910006715916727,0.06136363636363629,-0.09903536977491956,-0.3122238586156112,-0.0024919900320400368,0.11496598639455782,-0.1775147928994084,-0.33126491646778045,0.06136363636363629,0.30808569794939433,-1.4676686631796596,2022,intraday_regime_features_v0_1,ticker_day,1m_split_normalized_v0_1,1m_raw,D:\ohlcv_1m,E:\TSIS\data\ohlcv_1m_split_normalized
2022-11-12,BXRX,3,5.92,6.216,6.216,5.92,40.975,5.942489810860281,0.050000000000000044,0.050000000000000044,0.050000000000000044,0.0,0.046026194044096025,0.148,0.1554,0.1554,0.148,0.007400000000000018,0.04879016416943204,0.025,0.0,0.0,-0.006044325050369448,0.0962962962962961,0.05941302791696468,-0.26732673267326745,0.04262064107079944,0.09391891891891889,-0.4676258992805741,-0.29186602870813394,0.1212121212121211,0.2957885557908547,1.1747021471703298,2022,intraday_regime_features_v0_1,ticker_day,1m_split_normalized_v0_1,1m_raw,D:\ohlcv_1m,E:\TSIS\data\ohlcv_1m_split_normalized
2022-11-14,BXRX,213,6.216,5.72,6.54,5.472,13737.825,5.9103229172012295,-0.07979407979407982,0.17181467181467175,-0.05212355212355213,-0.12538226299694188,-0.03220177981262573,0.1554,0.143,0.1635,0.1368,0.0267,0.3733039677888204,0.025,0.0,0.0,0.0,0.050000000000000044,0.05714285714285716,-0.0006430868167202064,0.024390243902439046,0.04761904761904773,2.6081081081081,-0.2564593301435406,0.17727272727272725,0.2127255568453876,1.0296984046050877,2022,intraday_regime_features_v0_1,ticker_day,1m_split_normalized_v0_1,1m_raw,D:\ohlcv_1m,E:\TSIS\data\ohlcv_1m_split_normalized
2022-11-15,BXRX,260,6.004,6.8,6.8,5.68,31000.875000000004,6.303036439294053,0.13257828114590287,0.18654230512991343,-0.043970686209193754,0.0,0.07884510354530128,0.1501,0.17,0.17,0.142,0.028000000000000025,0.3196655855777706,0.025,0.04965034965034976,0.04965034965034976,-0.08195718654434248,0.09722222222222232,0.01418918918918921,0.07444523979957052,-0.0003330003330003217,0.18671328671328674,0.04868913857677981,-0.1661111111111111,0.1371212121212122,0.23238666323045912,3.4229320003652313,2022,intraday_regime_features_v0_1,ticker_day,1m_split_normalized_v0_1,1m_raw,D:\ohlcv_1m,E:\TSIS\data\ohlcv_1m_split_normalized
2022-11-16,BXRX,201,6.8,6.36,7.2,6.0,51197.45,6.595552016653174,-0.06470588235294106,0.17647058823529416,-0.04529411764705882,-0.1166666666666667,-0.035713768318167416,0.17,0.15900000000000003,0.18000000000000002,0.15000000000000002,0.03,0.2559928548679435,0.025,0.0,0.0,0.0,0.19718309859154948,0.09395109395109391,0.15646258503401378,0.08974358974358987,0.1647058823529413,0.07142857142857051,0.0,0.28787878787878785,0.24725323917867437,0.4407927051797796,2022,intraday_regime_features_v0_1,ticker_day,1m_split_normalized_v0_1,1m_raw,D:\ohlcv_1m,E:\TSIS\data\ohlcv_1m_split_normalized
