ticker,date,total_volume,short_volume,exempt_volume,non_exempt_volume,short_volume_ratio,nyse_short_volume,nyse_short_volume_exempt,nasdaq_carteret_short_volume,nasdaq_carteret_short_volume_exempt,nasdaq_chicago_short_volume,nasdaq_chicago_short_volume_exempt,adf_short_volume,adf_short_volume_exempt,orf_short_volume,orf_short_volume_exempt
AAME,2018-08-01,140.0,30.0,0.0,30.0,21.43,5.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAME,2018-08-02,162.0,8.0,0.0,8.0,4.94,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAME,2018-08-03,20.0,20.0,0.0,20.0,100.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAME,2018-08-06,15.0,2.0,0.0,2.0,13.33,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAME,2018-08-07,46.0,40.0,0.0,40.0,86.96,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAME,2018-08-08,392.0,386.0,0.0,386.0,98.47,386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAME,2018-08-09,11.0,10.0,0.0,10.0,90.91,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAME,2018-08-10,8.0,2.0,0.0,2.0,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAME,2018-08-13,638.0,135.0,0.0,135.0,21.16,15.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAME,2018-08-14,8824.0,3501.0,0.0,3501.0,39.68,21.0,0.0,3480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAME,2018-08-15,154.0,151.0,0.0,151.0,98.05,40.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAME,2018-08-16,1204.0,24.0,0.0,24.0,1.99,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAME,2018-08-17,66.0,65.0,0.0,65.0,98.48,1.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAME,2018-08-20,2641.0,515.0,0.0,515.0,19.5,0.0,0.0,515.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAME,2018-08-21,1236.0,225.0,0.0,225.0,18.2,21.0,0.0,204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAME,2018-08-23,701.0,5.0,0.0,5.0,0.71,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAME,2018-08-24,723.0,700.0,0.0,700.0,96.82,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAME,2018-08-27,1480.0,15.0,0.0,15.0,1.01,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAME,2018-08-28,530.0,478.0,0.0,478.0,90.19,10.0,0.0,468.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAME,2018-08-30,597.0,200.0,0.0,200.0,33.5,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
