ticker,date,total_volume,short_volume,exempt_volume,non_exempt_volume,short_volume_ratio,nyse_short_volume,nyse_short_volume_exempt,nasdaq_carteret_short_volume,nasdaq_carteret_short_volume_exempt,nasdaq_chicago_short_volume,nasdaq_chicago_short_volume_exempt,adf_short_volume,adf_short_volume_exempt,orf_short_volume,orf_short_volume_exempt
CPS,2018-08-01,87271.0,45653.0,0.0,45653.0,52.31,3185.0,0.0,42468.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPS,2018-08-01,87271.0,45653.0,0.0,45653.0,52.31,3185.0,0.0,9254.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPS,2018-08-01,87271.0,45653.0,0.0,45653.0,52.31,2505.0,0.0,42468.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPS,2018-08-01,87271.0,45653.0,0.0,45653.0,52.31,2505.0,0.0,9254.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPS,2018-08-01,18290.0,11759.0,0.0,11759.0,64.29,3185.0,0.0,42468.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPS,2018-08-01,18290.0,11759.0,0.0,11759.0,64.29,3185.0,0.0,9254.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPS,2018-08-01,18290.0,11759.0,0.0,11759.0,64.29,2505.0,0.0,42468.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPS,2018-08-01,18290.0,11759.0,0.0,11759.0,64.29,2505.0,0.0,9254.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPS,2018-08-02,69271.0,20583.0,0.0,20583.0,29.71,198.0,0.0,20385.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPS,2018-08-02,69271.0,20583.0,0.0,20583.0,29.71,198.0,0.0,8228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPS,2018-08-02,69271.0,20583.0,0.0,20583.0,29.71,251.0,0.0,20385.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
