ticker,date,sample_stratum,odd_lot_trade_pct,duplicate_exact_ratio_pct_raw,max_trades_same_timestamp_raw,trade_vwap_vs_daily_vw_diff_pct_raw,scale_bucket_vw,scale_bucket_high,outside_daily_regular_pct,core_outside_daily_pct,core_outside_daily_volume_pct,outside_1m_regular_pct,outside_1m_odd_lot_pct,outside_1m_round_lot_pct,core_outside_1m_pct,outside_minutes_pct_active,rows_after_parse,acceptance_label,file,issues_list,warns_list,m.l,m.h,m.vw,m.price_min,m.price_max,m.trade_vwap,m.rows_after_parse,m.ohlcv_1m_found,m.ohlcv_daily_found,m.ohlcv_1m_path,m.ohlcv_daily_path,year_band,signature_band,severity_band,sample_manifest,sample_hash
MTVA,2024-12-06,HARD_FAIL__daily_range__confirmed__>5,58.849557522123895,0.0,2,90.9073312366436,near_12x,near_10x,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,226.0,reference_scale_mismatch,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\MTVA\year=2024\month=12\day=2024-12-06\market.parquet,['trade_price_outside_daily_range'],['off_session_trades_present' 'trade_price_outside_1m_range'],22.44,27.005,24.9446,2.04,2.49,2.268129852344203,226.0,True,True,D:\ohlcv_1m\ticker=MTVA\year=2024\month=12\minute_aggs_MTVA_2024_12.parquet,D:\ohlcv_daily\ticker=MTVA\year=2024\day_aggs_MTVA_2024.parquet,recent,near_12x,sev_high,57f_stratified_v0_1,000baf770dfc03d95c8ba594d90519f5fbb66ed9
BKYI,2019-05-23,HARD_FAIL__daily_range__confirmed__>5,50.0,0.0,1,99.30556090305159,near_150x,near_150x,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,36.0,reference_scale_mismatch,D:\trades_ticks_prod_2005_2026\BKYI\year=2019\month=05\day=2019-05-23\market.parquet,['trade_price_outside_daily_range'],['trade_price_outside_1m_range'],157.752,161.28,159.6072,1.09,1.1219,1.1083747983446728,36.0,True,True,D:\ohlcv_1m\ticker=BKYI\year=2019\month=05\minute_aggs_BKYI_2019_05.parquet,D:\ohlcv_daily\ticker=BKYI\year=2019\day_aggs_BKYI_2019.parquet,recent,near_150x,sev_high,57f_stratified_v0_1,002ebf72f3dc4c3a2a340a6672b4dc4ec6cb7067
SOPA,2023-08-21,HARD_FAIL__daily_range__confirmed__>5,24.017790956263898,0.5189028910303929,4,93.7477202340841,near_15x,~15x,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2698.0,reference_scale_mismatch,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\SOPA\year=2023\month=08\day=2023-08-21\market.parquet,['trade_price_outside_daily_range'],['duplicate_exact_trade_rows_present' 'trade_price_outside_1m_range'],7.02,7.95,7.9195,0.468,0.53,0.49514929606171004,2698.0,True,True,D:\ohlcv_1m\ticker=SOPA\year=2023\month=08\minute_aggs_SOPA_2023_08.parquet,D:\ohlcv_daily\ticker=SOPA\year=2023\day_aggs_SOPA_2023.parquet,recent,near_15x,sev_high,57f_stratified_v0_1,0000aa8ee9ea8d0cb1ede3fe949067d7bc1ff7c5
AROW,2023-04-04,HARD_FAIL__daily_range__confirmed__0.50-1,85.4726368159204,0.0,2,3.507774177463799,near_1x,~1x,17.71144278606965,16.43835616438356,45.824507795409566,100.0,100.0,100.0,100.0,33.05084745762712,1005.0,reference_scale_mismatch,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\AROW\year=2023\month=04\day=2023-04-04\market.parquet,['trade_price_outside_daily_range'],['duplicate_exact_trade_rows_present' 'trade_price_outside_1m_range'],22.8641,24.029,23.2307,23.54,24.7499,24.04558049584408,1005.0,True,True,D:\ohlcv_1m\ticker=AROW\year=2023\month=04\minute_aggs_AROW_2023_04.parquet,D:\ohlcv_daily\ticker=AROW\year=2023\day_aggs_AROW_2023.parquet,recent,near_1x,sev_low,57f_stratified_v0_1,002a050efb577d6746ac38b0e094aeb9bf32b28c
ONCS,2020-02-06,HARD_FAIL__daily_range__confirmed__>5,40.42553191489361,0.851063829787234,2,95.45450202905589,near_20x,near_20x,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,235.0,reference_scale_mismatch,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\ONCS\year=2020\month=02\day=2020-02-06\market.parquet,['trade_price_outside_daily_range'],"['duplicate_exact_trade_rows_present' 'off_session_trades_present'
 'trade_price_outside_1m_range']",46.2,48.4,47.4962,2.0701,2.2,2.158938807275555,235.0,True,True,D:\ohlcv_1m\ticker=ONCS\year=2020\month=02\minute_aggs_ONCS_2020_02.parquet,D:\ohlcv_daily\ticker=ONCS\year=2020\day_aggs_ONCS_2020.parquet,recent,near_20x,sev_high,57f_stratified_v0_1,00120434be8159e9be26fbec744b86d060bc49a3
PIK,2022-01-11,HARD_FAIL__daily_range__confirmed__>5,44.418384503440386,0.719160179154245,4,80.98115831969908,near_5x,~5x,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,70777.0,reference_scale_mismatch,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\PIK\year=2022\month=01\day=2022-01-11\market.parquet,['trade_price_outside_daily_range'],"['duplicate_exact_trade_rows_present' 'off_session_trades_present'
 'trade_price_outside_1m_range']",21.5,36.5995,33.7012,4.3,7.3199,6.409577872361573,70777.0,True,True,D:\ohlcv_1m\ticker=PIK\year=2022\month=01\minute_aggs_PIK_2022_01.parquet,D:\ohlcv_daily\ticker=PIK\year=2022\day_aggs_PIK_2022.parquet,recent,near_5x,sev_high,57f_stratified_v0_1,012519bff95b4e2d628fa8c8ca1f20ee74fe0451
TPST,2023-12-21,HARD_FAIL__daily_range__confirmed__>5,48.29396325459317,1.8700787401574805,4,84.60033445825536,near_6x,near_6x,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3048.0,reference_scale_mismatch,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\TPST\year=2023\month=12\day=2023-12-21\market.parquet,['trade_price_outside_daily_range'],"['duplicate_exact_trade_rows_present' 'off_session_trades_present'
 'trade_price_outside_1m_range']",23.595,25.025,24.3087,3.63,3.85,3.7434584975460785,3048.0,True,True,D:\ohlcv_1m\ticker=TPST\year=2023\month=12\minute_aggs_TPST_2023_12.parquet,D:\ohlcv_daily\ticker=TPST\year=2023\day_aggs_TPST_2023.parquet,recent,near_6x,sev_high,57f_stratified_v0_1,001afdd5bbdd01e11b6f19c65a83907a47652599
BRBS,2020-01-07,HARD_FAIL__daily_range__confirmed__>5,30.76923076923077,0.0,1,50.0682140571448,~0.6667x,~0.6667x,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,13.0,reference_scale_mismatch,C:\TSIS_Data\data\trades_ticks_prod_2005_2026\BRBS\year=2020\month=01\day=2020-01-07\market.parquet,['trade_price_outside_daily_range'],['trade_price_outside_1m_range'],14.0,14.1667,14.1128,21.0,21.25,21.17882691345673,13.0,True,True,D:\ohlcv_1m\ticker=BRBS\year=2020\month=01\minute_aggs_BRBS_2020_01.parquet,D:\ohlcv_daily\ticker=BRBS\year=2020\day_aggs_BRBS_2020.parquet,recent,~0.6667x,sev_high,57f_stratified_v0_1,001ba6b2cef6949e9b3a63d7b16b710ccef37e94
DFDV,2025-09-17,HARD_FAIL__daily_range__confirmed__1-5,61.7177743860136,0.5064520604967393,4,9.71433709076817,~0.9091x,~0.9091x,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,14414.0,reference_scale_mismatch,D:\trades_ticks_prod_2005_2026\DFDV\year=2025\month=09\day=2025-09-17\market.parquet,['trade_price_outside_daily_range'],['duplicate_exact_trade_rows_present' 'trade_price_outside_1m_range'],15.4,16.483,15.9298,16.93,18.1499,17.477274469885188,14414.0,True,True,D:\ohlcv_1m\ticker=DFDV\year=2025\month=09\minute_aggs_DFDV_2025_09.parquet,D:\ohlcv_daily\ticker=DFDV\year=2025\day_aggs_DFDV_2025.parquet,recent,~0.9091x,sev_mid,57f_stratified_v0_1,000a7f112ff554e71b79ece7116db79e1ed9bcc5
IFBD,2024-08-02,HARD_FAIL__daily_range__unconfirmed__0.01-0.05,67.24137931034483,0.0,4,11.204180872244324,~1.1111x,~1x,2.8735632183908044,0.0,0.0,28.695652173913043,56.896551724137936,0.0,0.0,5.333333333333333,174.0,reference_scale_mismatch,D:\trades_ticks_prod_2005_2026\IFBD\year=2024\month=08\day=2024-08-02\market.parquet,['trade_price_outside_daily_range'],['duplicate_exact_trade_rows_present'],2.16,2.2599,2.4994,2.16,2.3,2.2193627032791254,174.0,True,True,D:\ohlcv_1m\ticker=IFBD\year=2024\month=08\minute_aggs_IFBD_2024_08.parquet,D:\ohlcv_daily\ticker=IFBD\year=2024\day_aggs_IFBD_2024.parquet,recent,~1.1111x,sev_mid,57f_stratified_v0_1,00daa7df28244ab5e3d7882639445d2ca16c53c2
