ticker,date,total_volume,short_volume,exempt_volume,non_exempt_volume,short_volume_ratio,nyse_short_volume,nyse_short_volume_exempt,nasdaq_carteret_short_volume,nasdaq_carteret_short_volume_exempt,nasdaq_chicago_short_volume,nasdaq_chicago_short_volume_exempt,adf_short_volume,adf_short_volume_exempt,orf_short_volume,orf_short_volume_exempt
SAVA,2019-03-28,108536.0,27371.0,0.0,27371.0,25.22,1667.0,0.0,25704.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAVA,2019-03-29,126118.0,42871.0,1800.0,41071.0,33.99,26306.0,0.0,16565.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0
SAVA,2019-04-01,99017.0,41286.0,0.0,41286.0,41.7,3910.0,0.0,37376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAVA,2019-04-02,69406.0,24496.0,0.0,24496.0,35.29,10.0,0.0,24486.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAVA,2019-04-03,57052.0,7087.0,0.0,7087.0,12.42,4550.0,0.0,2537.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAVA,2019-04-04,52077.0,11960.0,0.0,11960.0,22.97,3000.0,0.0,8960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAVA,2019-04-05,49092.0,5061.0,0.0,5061.0,10.31,1059.0,0.0,4002.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAVA,2019-04-08,20690.0,5514.0,0.0,5514.0,26.65,10.0,0.0,5504.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAVA,2019-04-09,18205.0,1500.0,0.0,1500.0,8.24,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAVA,2019-04-10,32572.0,3210.0,0.0,3210.0,9.86,3.0,0.0,3207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAVA,2019-04-11,74358.0,34534.0,0.0,34534.0,46.44,2653.0,0.0,31881.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAVA,2019-04-12,46517.0,5528.0,0.0,5528.0,11.88,153.0,0.0,5375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAVA,2019-04-15,111378.0,65074.0,0.0,65074.0,58.43,19675.0,0.0,45399.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAVA,2019-04-16,132461.0,64733.0,0.0,64733.0,48.87,22109.0,0.0,42624.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAVA,2019-04-17,38661.0,28036.0,0.0,28036.0,72.52,2656.0,0.0,25380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAVA,2019-04-18,17129.0,2999.0,0.0,2999.0,17.51,36.0,0.0,2963.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAVA,2019-04-22,33881.0,3162.0,0.0,3162.0,9.33,2352.0,0.0,810.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAVA,2019-04-23,30483.0,3363.0,0.0,3363.0,11.03,56.0,0.0,3307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAVA,2019-04-24,77789.0,38185.0,0.0,38185.0,49.09,9539.0,0.0,28646.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAVA,2019-04-25,32845.0,7710.0,0.0,7710.0,23.47,1063.0,0.0,6547.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
