"year","ticker","status","issue","run_id","final_dir_exists","commit_exists","failure_json"
"2015","DLB","failed","FileExistsError(17, 'No se puede crear un archivo que ya existe')","qg_1m_full_2015_2024_parallel_v0_1_20260707T092528Z","True","False","C:\TSIS_Data\data\data_foundation_outputs\ohlcv_1m_quote_guarded_full_universe_v0_1\_build_runs\qg_1m_full_2015_2024_parallel_v0_1_20260707T092528Z\failures\year=2015\DLB.json"
"2015","DLHC","failed","FileExistsError(17, 'No se puede crear un archivo que ya existe')","qg_1m_full_2015_2024_parallel_v0_1_20260707T092528Z","True","False","C:\TSIS_Data\data\data_foundation_outputs\ohlcv_1m_quote_guarded_full_universe_v0_1\_build_runs\qg_1m_full_2015_2024_parallel_v0_1_20260707T092528Z\failures\year=2015\DLHC.json"
"2015","DMRC","failed","FileExistsError(17, 'No se puede crear un archivo que ya existe')","qg_1m_full_2015_2024_parallel_v0_1_20260707T092528Z","True","False","C:\TSIS_Data\data\data_foundation_outputs\ohlcv_1m_quote_guarded_full_universe_v0_1\_build_runs\qg_1m_full_2015_2024_parallel_v0_1_20260707T092528Z\failures\year=2015\DMRC.json"
"2015","DNBF","failed","FileExistsError(17, 'No se puede crear un archivo que ya existe')","qg_1m_full_2015_2024_parallel_v0_1_20260707T092528Z","True","False","C:\TSIS_Data\data\data_foundation_outputs\ohlcv_1m_quote_guarded_full_universe_v0_1\_build_runs\qg_1m_full_2015_2024_parallel_v0_1_20260707T092528Z\failures\year=2015\DNBF.json"
"2015","DNI","failed","FileExistsError(17, 'No se puede crear un archivo que ya existe')","qg_1m_full_2015_2024_parallel_v0_1_20260707T092528Z","True","False","C:\TSIS_Data\data\data_foundation_outputs\ohlcv_1m_quote_guarded_full_universe_v0_1\_build_runs\qg_1m_full_2015_2024_parallel_v0_1_20260707T092528Z\failures\year=2015\DNI.json"
"2015","DNO","failed","FileExistsError(17, 'No se puede crear un archivo que ya existe')","qg_1m_full_2015_2024_parallel_v0_1_20260707T092528Z","True","False","C:\TSIS_Data\data\data_foundation_outputs\ohlcv_1m_quote_guarded_full_universe_v0_1\_build_runs\qg_1m_full_2015_2024_parallel_v0_1_20260707T092528Z\failures\year=2015\DNO.json"
"2015","DNR","failed","FileExistsError(17, 'No se puede crear un archivo que ya existe')","qg_1m_full_2015_2024_parallel_v0_1_20260707T092528Z","True","False","C:\TSIS_Data\data\data_foundation_outputs\ohlcv_1m_quote_guarded_full_universe_v0_1\_build_runs\qg_1m_full_2015_2024_parallel_v0_1_20260707T092528Z\failures\year=2015\DNR.json"
"2015","DORM","failed","FileExistsError(17, 'No se puede crear un archivo que ya existe')","qg_1m_full_2015_2024_parallel_v0_1_20260707T092528Z","True","False","C:\TSIS_Data\data\data_foundation_outputs\ohlcv_1m_quote_guarded_full_universe_v0_1\_build_runs\qg_1m_full_2015_2024_parallel_v0_1_20260707T092528Z\failures\year=2015\DORM.json"
"2015","DRA","failed","FileExistsError(17, 'No se puede crear un archivo que ya existe')","qg_1m_full_2015_2024_parallel_v0_1_20260707T092528Z","True","False","C:\TSIS_Data\data\data_foundation_outputs\ohlcv_1m_quote_guarded_full_universe_v0_1\_build_runs\qg_1m_full_2015_2024_parallel_v0_1_20260707T092528Z\failures\year=2015\DRA.json"
"2015","DRNA","failed","FileExistsError(17, 'No se puede crear un archivo que ya existe')","qg_1m_full_2015_2024_parallel_v0_1_20260707T092528Z","True","False","C:\TSIS_Data\data\data_foundation_outputs\ohlcv_1m_quote_guarded_full_universe_v0_1\_build_runs\qg_1m_full_2015_2024_parallel_v0_1_20260707T092528Z\failures\year=2015\DRNA.json"
"2015","DRVN","failed","FileExistsError(17, 'No se puede crear un archivo que ya existe')","qg_1m_full_2015_2024_parallel_v0_1_20260707T092528Z","True","False","C:\TSIS_Data\data\data_foundation_outputs\ohlcv_1m_quote_guarded_full_universe_v0_1\_build_runs\qg_1m_full_2015_2024_parallel_v0_1_20260707T092528Z\failures\year=2015\DRVN.json"
"2015","DST","failed","FileExistsError(17, 'No se puede crear un archivo que ya existe')","qg_1m_full_2015_2024_parallel_v0_1_20260707T092528Z","True","False","C:\TSIS_Data\data\data_foundation_outputs\ohlcv_1m_quote_guarded_full_universe_v0_1\_build_runs\qg_1m_full_2015_2024_parallel_v0_1_20260707T092528Z\failures\year=2015\DST.json"
"2015","DTE","failed","FileExistsError(17, 'No se puede crear un archivo que ya existe')","qg_1m_full_2015_2024_parallel_v0_1_20260707T092528Z","True","False","C:\TSIS_Data\data\data_foundation_outputs\ohlcv_1m_quote_guarded_full_universe_v0_1\_build_runs\qg_1m_full_2015_2024_parallel_v0_1_20260707T092528Z\failures\year=2015\DTE.json"
"2015","DVAX","failed","FileExistsError(17, 'No se puede crear un archivo que ya existe')","qg_1m_full_2015_2024_parallel_v0_1_20260707T092528Z","True","False","C:\TSIS_Data\data\data_foundation_outputs\ohlcv_1m_quote_guarded_full_universe_v0_1\_build_runs\qg_1m_full_2015_2024_parallel_v0_1_20260707T092528Z\failures\year=2015\DVAX.json"
"2015","DVD","failed","FileExistsError(17, 'No se puede crear un archivo que ya existe')","qg_1m_full_2015_2024_parallel_v0_1_20260707T092528Z","True","False","C:\TSIS_Data\data\data_foundation_outputs\ohlcv_1m_quote_guarded_full_universe_v0_1\_build_runs\qg_1m_full_2015_2024_parallel_v0_1_20260707T092528Z\failures\year=2015\DVD.json"
"2015","DWCH","failed","FileExistsError(17, 'No se puede crear un archivo que ya existe')","qg_1m_full_2015_2024_parallel_v0_1_20260707T092528Z","True","False","C:\TSIS_Data\data\data_foundation_outputs\ohlcv_1m_quote_guarded_full_universe_v0_1\_build_runs\qg_1m_full_2015_2024_parallel_v0_1_20260707T092528Z\failures\year=2015\DWCH.json"
