ticker,year_files,rows,split_non1_rows,div_non1_rows,adj_non1_rows,activation_profile
CSQ,22,5327,0,0,0,neutral_control
CSR,14,2721,0,0,0,neutral_control
CSRA,4,589,0,0,0,neutral_control
CSS,16,3817,0,0,0,neutral_control
CSSEL,3,462,0,0,0,neutral_control
CST,5,1047,0,0,0,neutral_control
CSTA,4,561,0,0,0,neutral_control
CSTL,11,2284,0,0,0,neutral_control
CSTM,14,3216,0,0,0,neutral_control
CSU,17,4247,0,0,0,neutral_control
CSW,2,187,0,0,0,neutral_control
CSWC,22,5324,0,0,0,neutral_control
CSWCZ,3,576,0,0,0,neutral_control
CSX,22,5327,0,0,0,neutral_control
CTAC,7,1102,0,0,0,neutral_control
CTAQ,3,457,0,0,0,neutral_control
CTAS,22,5327,0,0,0,neutral_control
CTB,17,4134,0,0,0,neutral_control
CTBI,22,5327,0,0,0,neutral_control
CTC,11,2273,0,0,0,neutral_control
CTE,6,1152,0,0,0,neutral_control
CTEV,2,256,0,0,0,neutral_control
CTF,5,1047,0,0,0,neutral_control
CTG,13,2990,0,0,0,neutral_control
CTGO,6,1009,0,0,0,neutral_control
CTIB,19,4157,0,0,0,neutral_control
CTK,5,917,0,0,0,neutral_control
CTKB,6,1160,0,0,0,neutral_control
CTLP,6,1227,0,0,0,neutral_control
CTLT,11,2614,0,0,0,neutral_control
CTM,5,851,0,0,0,neutral_control
CTMX,12,2617,0,0,0,neutral_control
CTNM,3,481,0,0,0,neutral_control
CTOR,3,392,0,0,0,neutral_control
CTOS,6,1237,0,0,0,neutral_control
CTP,6,1068,0,0,0,neutral_control
CTR,18,4273,0,0,0,neutral_control
CTRA,11,1943,0,0,0,neutral_control
CTRC,3,392,0,0,0,neutral_control
CTRE,13,2958,0,0,0,neutral_control
CTRI,3,472,0,0,0,neutral_control
CTRL,7,1509,0,0,0,neutral_control
CTRMV,1,3,0,0,0,neutral_control
CTS,22,5327,0,0,0,neutral_control
CTSH,22,5327,0,0,0,neutral_control
CTSO,13,2816,0,0,0,neutral_control
CTST,2,277,0,0,0,neutral_control
CTV,19,3797,0,0,0,neutral_control
CTVA,8,1700,0,0,0,neutral_control
CTW,10,1887,0,0,0,neutral_control
CTWS,15,3718,0,0,0,neutral_control
CTX,12,2771,0,0,0,neutral_control
CTXS,18,4467,0,0,0,neutral_control
CUB,20,4429,0,0,0,neutral_control
CUBE,16,3637,0,0,0,neutral_control
CUBI,14,3221,0,0,0,neutral_control
CUBN,3,565,0,0,0,neutral_control
CUDA,6,1073,0,0,0,neutral_control
CUE,9,2055,0,0,0,neutral_control
CUI,9,2069,0,0,0,neutral_control
CUK,22,5327,0,0,0,neutral_control
CULP,10,2174,0,0,0,neutral_control
CUNB,6,1252,0,0,0,neutral_control
CUO,16,2236,0,0,0,neutral_control
CUPR,2,227,0,0,0,neutral_control
CUR,13,3068,0,0,0,neutral_control
CURB,3,358,0,0,0,neutral_control
CURR,6,768,0,0,0,neutral_control
CURV,6,1175,0,0,0,neutral_control
CURX,2,133,0,0,0,neutral_control
CUTR,21,5080,0,0,0,neutral_control
CUZ,22,5327,0,0,0,neutral_control
CVA,17,4066,0,0,0,neutral_control
CVAC,7,1354,0,0,0,neutral_control
CVBF,22,5327,0,0,0,neutral_control
CVC,12,2886,0,0,0,neutral_control
CVCO,22,5327,0,0,0,neutral_control
CVD,11,2549,0,0,0,neutral_control
CVE,18,4084,0,0,0,neutral_control
CVET,4,927,0,0,0,neutral_control
CVF,8,1298,0,0,0,neutral_control
CVG,14,3464,0,0,0,neutral_control
CVGI,22,5327,0,0,0,neutral_control
CVH,9,2099,0,0,0,neutral_control
CVI,22,4873,0,0,0,neutral_control
CVIA,3,523,0,0,0,neutral_control
CVII,4,842,0,0,0,neutral_control
CVLB,2,48,0,0,0,neutral_control
CVLT,21,4893,0,0,0,neutral_control
CVNA,10,2226,0,0,0,neutral_control
CVO,14,3301,0,0,0,neutral_control
CVON,2,217,0,0,0,neutral_control
CVP,5,1024,0,0,0,neutral_control
CVRR,7,1517,0,0,0,neutral_control
CVRS,5,1113,0,0,0,neutral_control
CVRX,6,1176,0,0,0,neutral_control
CVS,22,5327,0,0,0,neutral_control
CVSA,1,9,0,0,0,neutral_control
CVSL,3,298,0,0,0,neutral_control
CVT,9,1504,0,0,0,neutral_control
CVU,22,5208,0,0,0,neutral_control
CVV,22,5203,0,0,0,neutral_control
CVX,22,5327,0,0,0,neutral_control
CW,22,5327,0,0,0,neutral_control
CW.B,1,99,0,0,0,neutral_control
CWAN,6,1116,0,0,0,neutral_control
CWAY,5,1093,0,0,0,neutral_control
CWEI,13,3098,0,0,0,neutral_control
CWEN,9,1877,0,0,0,neutral_control
CWEN.A,9,1877,0,0,0,neutral_control
CWF,7,1540,0,0,0,neutral_control
CWG,3,546,0,0,0,neutral_control
CWK,9,1908,0,0,0,neutral_control
CWP,1,240,0,0,0,neutral_control
CWST,22,5327,0,0,0,neutral_control
CWT,22,5327,0,0,0,neutral_control
CX,22,5327,0,0,0,neutral_control
CXAC,2,364,0,0,0,neutral_control
CXAI,4,747,0,0,0,neutral_control
CXDC,15,3226,0,0,0,neutral_control
CXE,22,5327,0,0,0,neutral_control
CXG,5,1098,0,0,0,neutral_control
CXH,22,5326,0,0,0,neutral_control
CXM,14,2813,0,0,0,neutral_control
CXO,15,3388,0,0,0,neutral_control
CXP,11,2356,0,0,0,neutral_control
CXR,5,1109,0,0,0,neutral_control
CXRX,4,741,0,0,0,neutral_control
CXS,5,927,0,0,0,neutral_control
CXT,4,733,0,0,0,neutral_control
CXW,22,5327,0,0,0,neutral_control
CXZ,9,1774,0,0,0,neutral_control
CY,16,3847,0,0,0,neutral_control
CYAN,22,5089,0,0,0,neutral_control
CYBE,18,4476,0,0,0,neutral_control
CYBN,6,1108,0,0,0,neutral_control
CYBR,13,2862,0,0,0,neutral_control
CYD,22,5327,0,0,0,neutral_control
CYE,9,2235,0,0,0,neutral_control
CYNI,3,562,0,0,0,neutral_control
CYNO,13,2838,0,0,0,neutral_control
CYPH,2,77,0,0,0,neutral_control
CYRX,12,2670,0,0,0,neutral_control
CYS,10,2300,0,0,0,neutral_control
CYTH,6,1077,0,0,0,neutral_control
CYTK,22,5326,0,0,0,neutral_control
CYTX,15,3423,0,0,0,neutral_control
CYXT,3,472,0,0,0,neutral_control
CZFC,14,2086,0,0,0,neutral_control
CZN,4,900,0,0,0,neutral_control
CZOO,4,686,0,0,0,neutral_control
CZR,16,3651,0,0,0,neutral_control
CZZ,15,3412,0,0,0,neutral_control
D,22,5327,0,0,0,neutral_control
DA,3,629,0,0,0,neutral_control
DAAQ,2,192,0,0,0,neutral_control
DAB,2,297,0,0,0,neutral_control
DAC,21,4880,0,0,0,neutral_control
DAI,4,711,0,0,0,neutral_control
DAIC,2,178,0,0,0,neutral_control
DAIO,22,5240,0,0,0,neutral_control
DAKP,3,515,0,0,0,neutral_control
DAKT,22,5327,0,0,0,neutral_control
DAL,21,4938,0,0,0,neutral_control
DALS,3,356,0,0,0,neutral_control
DAN,19,4552,0,0,0,neutral_control
DANG,7,1456,0,0,0,neutral_control
DAOO,1,195,0,0,0,neutral_control
DAR,22,5327,0,0,0,neutral_control
DASH,7,1315,0,0,0,neutral_control
DATA,12,2664,0,0,0,neutral_control
DAVE,20,4744,0,0,0,neutral_control
DAWN,6,1199,0,0,0,neutral_control
DAY,3,503,0,0,0,neutral_control
DB,22,5327,0,0,0,neutral_control
DBCA,1,8,0,0,0,neutral_control
DBCP,1,73,0,0,0,neutral_control
DBD,22,5275,0,0,0,neutral_control
DBDR,2,276,0,0,0,neutral_control
DBL,15,3547,0,0,0,neutral_control
DBRG,6,1182,0,0,0,neutral_control
DBTX,3,657,0,0,0,neutral_control
DBVT,13,2859,0,0,0,neutral_control
DBX,14,2736,0,0,0,neutral_control
DC,5,983,0,0,0,neutral_control
DCA,13,3047,0,0,0,neutral_control
DCBO,7,1319,0,0,0,neutral_control
DCF,8,1778,0,0,0,neutral_control
DCFC,3,566,0,0,0,neutral_control
DCGO,6,1085,0,0,0,neutral_control
DCH,1,21,0,0,0,neutral_control
DCI,22,5327,0,0,0,neutral_control
DCIX,10,2313,0,0,0,neutral_control
DCM,14,3342,0,0,0,neutral_control
DCN,2,294,0,0,0,neutral_control
DCO,22,5327,0,0,0,neutral_control
DCOM,22,5327,0,0,0,neutral_control
DCOMG,3,399,0,0,0,neutral_control
DCOY,1,40,0,0,0,neutral_control
DCP,12,2661,0,0,0,neutral_control
DCPH,8,1685,0,0,0,neutral_control
DCRB,2,148,0,0,0,neutral_control
DCRC,1,138,0,0,0,neutral_control
DCRD,3,298,0,0,0,neutral_control
DCRN,2,200,0,0,0,neutral_control
DCS,7,1603,0,0,0,neutral_control
DCT,17,3602,0,0,0,neutral_control
DCU,5,1067,0,0,0,neutral_control
DCW,4,819,0,0,0,neutral_control
DCX,8,1156,0,0,0,neutral_control
DD,21,4889,0,0,0,neutral_control
DDE,15,3582,0,0,0,neutral_control
DDF,19,4578,0,0,0,neutral_control
DDMG,2,203,0,0,0,neutral_control
DDMX,10,1854,0,0,0,neutral_control
DDOG,8,1624,0,0,0,neutral_control
DDR,14,3469,0,0,0,neutral_control
DDS,22,5327,0,0,0,neutral_control
DE,22,5327,0,0,0,neutral_control
DEAC,2,134,0,0,0,neutral_control
DEB,5,926,0,0,0,neutral_control
DECA,6,513,0,0,0,neutral_control
DECK,22,5327,0,0,0,neutral_control
DEFT,2,206,0,0,0,neutral_control
DEG,12,2909,0,0,0,neutral_control
DEH,2,261,0,0,0,neutral_control
DEI,21,4870,0,0,0,neutral_control
DEJ,9,2126,0,0,0,neutral_control
DEK,3,311,0,0,0,neutral_control
DEK.U,3,215,0,0,0,neutral_control
DEL,14,3306,0,0,0,neutral_control
DELL,18,4028,0,0,0,neutral_control
DELT,9,1500,0,0,0,neutral_control
DEN,4,785,0,0,0,neutral_control
DENN,22,5206,0,0,0,neutral_control
DEO,22,5327,0,0,0,neutral_control
DEP,5,1161,0,0,0,neutral_control
DEPO,14,3428,0,0,0,neutral_control
DER,2,270,0,0,0,neutral_control
DERM,13,2433,0,0,0,neutral_control
DES,21,4961,0,0,0,neutral_control
DESP,9,1923,0,0,0,neutral_control
DEW,21,4946,0,0,0,neutral_control
DEX,19,4225,0,0,0,neutral_control
DEXO,4,817,0,0,0,neutral_control
DFBG,3,693,0,0,0,neutral_control
DFBH,2,187,0,0,0,neutral_control
DFE,21,4932,0,0,0,neutral_control
DFG,8,1856,0,0,0,neutral_control
DFH,6,1287,0,0,0,neutral_control
DFHT,2,168,0,0,0,neutral_control
DFIN,11,2369,0,0,0,neutral_control
DFJ,21,4959,0,0,0,neutral_control
DFNS,3,336,0,0,0,neutral_control
DFP,20,4402,0,0,0,neutral_control
DFPH,3,330,0,0,0,neutral_control
DFR,9,1945,0,0,0,neutral_control
DFRG,8,1801,0,0,0,neutral_control
DFS,20,4727,0,0,0,neutral_control
DFSC,2,173,0,0,0,neutral_control
DFT,11,2493,0,0,0,neutral_control
DFTX,1,35,0,0,0,neutral_control
DG,21,4732,0,0,0,neutral_control
DGAS,13,3171,0,0,0,neutral_control
DGC,3,430,0,0,0,neutral_control
DGF,7,1715,0,0,0,neutral_control
DGHI,5,836,0,0,0,neutral_control
DGI,9,2114,0,0,0,neutral_control
DGII,22,5327,0,0,0,neutral_control
DGLT,2,92,0,0,0,neutral_control
DGNR,2,207,0,0,0,neutral_control
DGNS,2,267,0,0,0,neutral_control
DGNU,3,462,0,0,0,neutral_control
DGSE,14,3050,0,0,0,neutral_control
DGW,3,459,0,0,0,neutral_control
DGX,22,5327,0,0,0,neutral_control
DGXX,2,244,0,0,0,neutral_control
DH,6,1123,0,0,0,neutral_control
DHBC,2,282,0,0,0,neutral_control
DHCA,4,519,0,0,0,neutral_control
DHCNI,7,1551,0,0,0,neutral_control
DHCNL,7,1552,0,0,0,neutral_control
DHCP,1,187,0,0,0,neutral_control
DHF,22,5327,0,0,0,neutral_control
DHG,13,2842,0,0,0,neutral_control
DHI,22,5327,0,0,0,neutral_control
DHR,22,5327,0,0,0,neutral_control
DHRM,7,1622,0,0,0,neutral_control
DHS,21,4961,0,0,0,neutral_control
DHT,22,5130,0,0,0,neutral_control
DHX,20,4689,0,0,0,neutral_control
DHXM,5,992,0,0,0,neutral_control
DHY,22,5327,0,0,0,neutral_control
DIAX,13,2817,0,0,0,neutral_control
DIBS,6,1190,0,0,0,neutral_control
DICE,3,477,0,0,0,neutral_control
DII,6,1055,0,0,0,neutral_control
DILA,2,145,0,0,0,neutral_control
DIM,21,4958,0,0,0,neutral_control
DINO,5,998,0,0,0,neutral_control
DIOD,22,5327,0,0,0,neutral_control
DIS,22,5327,0,0,0,neutral_control
DISA,3,335,0,0,0,neutral_control
DISCA,18,4190,0,0,0,neutral_control
DISCB,18,2080,0,0,0,neutral_control
DISCK,15,3414,0,0,0,neutral_control
DISH,19,4781,0,0,0,neutral_control
DIST,3,301,0,0,0,neutral_control
DIV,17,3965,0,0,0,neutral_control
DJ,3,743,0,0,0,neutral_control
DJCO,22,4103,0,0,0,neutral_control
DJO,3,727,0,0,0,neutral_control
DJT,3,488,0,0,0,neutral_control
DK,21,4991,0,0,0,neutral_control
DKL,21,4788,0,0,0,neutral_control
DKNG,7,1474,0,0,0,neutral_control
DKS,22,5327,0,0,0,neutral_control
DL,14,3139,0,0,0,neutral_control
DLB,22,5295,0,0,0,neutral_control
DLCA,3,399,0,0,0,neutral_control
DLHC,15,3354,0,0,0,neutral_control
DLM,7,1556,0,0,0,neutral_control
DLN,21,4961,0,0,0,neutral_control
DLO,6,1195,0,0,0,neutral_control
DLP,3,607,0,0,0,neutral_control
DLPH,10,2232,0,0,0,neutral_control
DLR,22,5327,0,0,0,neutral_control
DLS,21,4961,0,0,0,neutral_control
DLTH,12,2586,0,0,0,neutral_control
DLTR,22,5327,0,0,0,neutral_control
DLX,22,5327,0,0,0,neutral_control
DLXY,2,167,0,0,0,neutral_control
DLY,7,1515,0,0,0,neutral_control
DMA,5,1038,0,0,0,neutral_control
DMAA,2,241,0,0,0,neutral_control
DMAC,9,1820,0,0,0,neutral_control
DMB,14,3235,0,0,0,neutral_control
DMC,7,1640,0,0,0,neutral_control
DMD,9,1875,0,0,0,neutral_control
DMF,21,5147,0,0,0,neutral_control
DMH,5,824,0,0,0,neutral_control
DMII,2,61,0,0,0,neutral_control
DMK,2,104,0,0,0,neutral_control
DMLP,22,5327,0,0,0,neutral_control
DMN,3,203,0,0,0,neutral_control
DMO,17,4033,0,0,0,neutral_control
DMPI,5,1035,0,0,0,neutral_control
DMRA,1,14,0,0,0,neutral_control
DMTK,6,1213,0,0,0,neutral_control
DMTX,3,515,0,0,0,neutral_control
DMYD,2,135,0,0,0,neutral_control
DMYI,1,188,0,0,0,neutral_control
DMYQ,1,156,0,0,0,neutral_control
DMYS,3,338,0,0,0,neutral_control
DMYT,1,154,0,0,0,neutral_control
DMYY,5,526,0,0,0,neutral_control
DNAA,2,285,0,0,0,neutral_control
DNAB,3,487,0,0,0,neutral_control
DNAC,2,254,0,0,0,neutral_control
DNAD,3,486,0,0,0,neutral_control
DNAI,3,375,0,0,0,neutral_control
DNB,21,4843,0,0,0,neutral_control
DNBF,11,2164,0,0,0,neutral_control
DND,6,1249,0,0,0,neutral_control
DNE,6,1306,0,0,0,neutral_control
DNH,6,1259,0,0,0,neutral_control
DNI,10,2430,0,0,0,neutral_control
DNJR,3,494,0,0,0,neutral_control
DNKN,10,2363,0,0,0,neutral_control
DNL,21,4924,0,0,0,neutral_control
DNLI,10,2070,0,0,0,neutral_control
DNMX,2,64,0,0,0,neutral_control
DNN,20,4751,0,0,0,neutral_control
DNO,10,2251,0,0,0,neutral_control
DNOW,13,2959,0,0,0,neutral_control
DNP,22,5327,0,0,0,neutral_control
DNTH,4,623,0,0,0,neutral_control
DNY,9,1721,0,0,0,neutral_control
DNZ,3,357,0,0,0,neutral_control
DO,19,4464,0,0,0,neutral_control
DOC,17,3929,0,0,0,neutral_control
DOCN,6,1244,0,0,0,neutral_control
DOCS,6,1180,0,0,0,neutral_control
DOCU,9,1975,0,0,0,neutral_control
DOL,21,4958,0,0,0,neutral_control
DOLE,11,2169,0,0,0,neutral_control
DOM,12,2770,0,0,0,neutral_control
DOMO,9,1931,0,0,0,neutral_control
DON,21,4961,0,0,0,neutral_control
DOO,19,3985,0,0,0,neutral_control
DOOO,8,1817,0,0,0,neutral_control
DOOR,12,2689,0,0,0,neutral_control
DORM,21,4952,0,0,0,neutral_control
DOTA,2,158,0,0,0,neutral_control
DOV,22,5327,0,0,0,neutral_control
DOVA,3,597,0,0,0,neutral_control
DOW,21,4931,0,0,0,neutral_control
DOW.WD,1,6,0,0,0,neutral_control
DOX,22,5327,0,0,0,neutral_control
DP,2,395,0,0,0,neutral_control
DPCS,3,336,0,0,0,neutral_control
DPD,10,2431,0,0,0,neutral_control
DPG,16,3674,0,0,0,neutral_control
DPH,1,196,0,0,0,neutral_control
DPHC,2,205,0,0,0,neutral_control
DPL,7,1739,0,0,0,neutral_control
DPLO,7,1341,0,0,0,neutral_control
DPO,8,1908,0,0,0,neutral_control
DPS,11,2561,0,0,0,neutral_control
DPSI,3,608,0,0,0,neutral_control
DPW,17,4042,0,0,0,neutral_control
DPZ,22,5327,0,0,0,neutral_control
DQ,17,3876,0,0,0,neutral_control
DQE,3,606,0,0,0,neutral_control
DR,3,610,0,0,0,neutral_control
DRA,6,1211,0,0,0,neutral_control
DRAD,16,4021,0,0,0,neutral_control
DRAM,13,3113,0,0,0,neutral_control
DRC,11,2492,0,0,0,neutral_control
DRD,16,3565,0,0,0,neutral_control
DRDB,2,257,0,0,0,neutral_control
DRE,18,4468,0,0,0,neutral_control
DRH,22,5227,0,0,0,neutral_control
DRI,22,5327,0,0,0,neutral_control
DRII,4,788,0,0,0,neutral_control
DRIO,11,2515,0,0,0,neutral_control
DRJ,7,1368,0,0,0,neutral_control
DRL,11,2556,0,0,0,neutral_control
DRNA,8,1992,0,0,0,neutral_control
DRP,7,1067,0,0,0,neutral_control
DRS,9,1777,0,0,0,neutral_control
DRTS,5,1003,0,0,0,neutral_control
DRTT,5,989,0,0,0,neutral_control
DRVN,8,1324,0,0,0,neutral_control
DRWI,9,1955,0,0,0,neutral_control
DRYS,15,3696,0,0,0,neutral_control
DS,7,1512,0,0,0,neutral_control
DSAC,4,426,0,0,0,neutral_control
DSAQ,5,374,0,0,0,neutral_control
DSCI,8,1747,0,0,0,neutral_control
DSE,11,2109,0,0,0,neutral_control
DSEY,3,573,0,0,0,neutral_control
DSF,5,1180,0,0,0,neutral_control
DSGN,6,1242,0,0,0,neutral_control
DSGR,5,960,0,0,0,neutral_control
DSGX,22,5316,0,0,0,neutral_control
DSKE,8,1784,0,0,0,neutral_control
DSKX,5,806,0,0,0,neutral_control
DSL,18,4217,0,0,0,neutral_control
DSM,22,5327,0,0,0,neutral_control
DSP,11,2182,0,0,0,neutral_control
DSP.U,3,256,0,0,0,neutral_control
DSPG,17,4260,0,0,0,neutral_control
DSSI,4,595,0,0,0,neutral_control
DST,14,3344,0,0,0,neutral_control
DSU,22,5327,0,0,0,neutral_control
DSW,15,3462,0,0,0,neutral_control
DT,14,3033,0,0,0,neutral_control
DTC,8,1423,0,0,0,neutral_control
DTCX,2,55,0,0,0,neutral_control
DTD,21,4961,0,0,0,neutral_control
DTE,22,5327,0,0,0,neutral_control
DTEA,9,1979,0,0,0,neutral_control
DTF,22,5307,0,0,0,neutral_control
DTG,14,3055,0,0,0,neutral_control
DTH,22,4983,0,0,0,neutral_control
DTI,4,677,0,0,0,neutral_control
DTLK,13,3021,0,0,0,neutral_control
DTM,6,1175,0,0,0,neutral_control
DTN,17,3924,0,0,0,neutral_control
DTRM,4,785,0,0,0,neutral_control
DTRT,3,237,0,0,0,neutral_control
DTSI,12,3001,0,0,0,neutral_control
DTSQ,3,209,0,0,0,neutral_control
DTST,6,1208,0,0,0,neutral_control
DTV,15,3400,0,0,0,neutral_control
DUC,17,4071,0,0,0,neutral_control
DUET,3,301,0,0,0,neutral_control
DUF,7,1400,0,0,0,neutral_control
DUK,22,5327,0,0,0,neutral_control
DUOL,6,1157,0,0,0,neutral_control
DUOT,7,1515,0,0,0,neutral_control
DV,19,4344,0,0,0,neutral_control
DVA,22,5327,0,0,0,neutral_control
DVAX,22,5307,0,0,0,neutral_control
DVD,17,4229,0,0,0,neutral_control
DVF,8,1939,0,0,0,neutral_control
DVM,10,2361,0,0,0,neutral_control
DVMT,3,581,0,0,0,neutral_control
DVN,22,5327,0,0,0,neutral_control
DVR,9,1982,0,0,0,neutral_control
DVS,3,359,0,0,0,neutral_control
DW,12,3021,0,0,0,neutral_control
DWA,12,2930,0,0,0,neutral_control
DWCH,14,3436,0,0,0,neutral_control
DWDP,3,438,0,0,0,neutral_control
DWM,21,4961,0,0,0,neutral_control
DWRE,5,1086,0,0,0,neutral_control
DWT,6,927,0,0,0,neutral_control
DWTX,3,352,0,0,0,neutral_control
DX,22,5326,0,0,0,neutral_control
DXC,10,2244,0,0,0,neutral_control
DXCM,22,5256,0,0,0,neutral_control
DXI,4,427,0,0,0,neutral_control
DXJ,21,4937,0,0,0,neutral_control
DXLG,15,3154,0,0,0,neutral_control
DXN,3,364,0,0,0,neutral_control
DXPE,22,5325,0,0,0,neutral_control
DXTR,2,373,0,0,0,neutral_control
DXYN,22,5275,0,0,0,neutral_control
DXYZ,3,488,0,0,0,neutral_control
DY,22,5327,0,0,0,neutral_control
DYAI,8,1731,0,0,0,neutral_control
DYCQ,2,210,0,0,0,neutral_control
DYFN,3,526,0,0,0,neutral_control
DYN,21,4649,0,0,0,neutral_control
DYNX,2,145,0,0,0,neutral_control
DYOR,2,54,0,0,0,neutral_control
DYP,3,353,0,0,0,neutral_control
DYS,5,1021,0,0,0,neutral_control
E,22,5327,0,0,0,neutral_control
EA,16,3572,0,0,0,neutral_control
EACQ,4,472,0,0,0,neutral_control
EAD,22,5327,0,0,0,neutral_control
EAG,7,1446,0,0,0,neutral_control
EARS,8,1754,0,0,0,neutral_control
EAS,4,933,0,0,0,neutral_control
EAT,22,5327,0,0,0,neutral_control
EB,9,1874,0,0,0,neutral_control
EBAC,3,255,0,0,0,neutral_control
EBAY,22,5327,0,0,0,neutral_control
EBC,10,1605,0,0,0,neutral_control
EBI,8,1465,0,0,0,neutral_control
EBIO,5,1077,0,0,0,neutral_control
EBR,18,4179,0,0,0,neutral_control
EBS,21,4855,0,0,0,neutral_control
EBSB,14,3478,0,0,0,neutral_control
EC,21,4755,0,0,0,neutral_control
ECA,16,3791,0,0,0,neutral_control
ECAC,3,59,0,0,0,neutral_control
ECAT,6,1114,0,0,0,neutral_control
ECBE,9,1412,0,0,0,neutral_control
ECBK,5,895,0,0,0,neutral_control
ECC,17,3334,0,0,0,neutral_control
ECF,22,5327,0,0,0,neutral_control
ECG,3,335,0,0,0,neutral_control
ECHO,17,3850,0,0,0,neutral_control
ECI,4,873,0,0,0,neutral_control
ECL,22,5327,0,0,0,neutral_control
ECOL,18,4362,0,0,0,neutral_control
ECOM,10,2388,0,0,0,neutral_control
ECPG,22,5327,0,0,0,neutral_control
ECT,13,2917,0,0,0,neutral_control
ECV,6,964,0,0,0,neutral_control
ECVT,6,1153,0,0,0,neutral_control
ECX,5,803,0,0,0,neutral_control
ECYT,8,1983,0,0,0,neutral_control
ED,22,5327,0,0,0,neutral_control
EDD,20,4748,0,0,0,neutral_control
EDE,12,3021,0,0,0,neutral_control
EDF,22,4935,0,0,0,neutral_control
EDG,2,395,0,0,0,neutral_control
EDGW,14,3441,0,0,0,neutral_control
EDHL,2,222,0,0,0,neutral_control
EDI,12,2802,0,0,0,neutral_control
EDIT,11,2537,0,0,0,neutral_control
EDN,20,4679,0,0,0,neutral_control
EDNC,2,151,0,0,0,neutral_control
EDNT,3,542,0,0,0,neutral_control
EDO,3,748,0,0,0,neutral_control
EDP,3,611,0,0,0,neutral_control
EDR,19,4416,0,0,0,neutral_control
EDRY,9,1879,0,0,0,neutral_control
EDS,11,2291,0,0,0,neutral_control
EDTK,7,1411,0,0,0,neutral_control
EDTX,6,572,0,0,0,neutral_control
EDU,21,4904,0,0,0,neutral_control
EE,21,4897,0,0,0,neutral_control
EEA,22,5092,0,0,0,neutral_control
EEE,7,1323,0,0,0,neutral_control
EEF,4,882,0,0,0,neutral_control
EEFT,22,5327,0,0,0,neutral_control
EEI,15,3653,0,0,0,neutral_control
EEP,14,3516,0,0,0,neutral_control
EEQ,14,3516,0,0,0,neutral_control
EF,4,791,0,0,0,neutral_control
EFBI,6,574,0,0,0,neutral_control
EFC,19,4112,0,0,0,neutral_control
EFD,5,857,0,0,0,neutral_control
EFF,9,2010,0,0,0,neutral_control
EFII,15,3662,0,0,0,neutral_control
EFL,11,2503,0,0,0,neutral_control
EFR,22,5327,0,0,0,neutral_control
EFSC,22,5298,0,0,0,neutral_control
EFT,22,5327,0,0,0,neutral_control
EFTY,1,40,0,0,0,neutral_control
EFX,22,5327,0,0,0,neutral_control
EFXT,5,851,0,0,0,neutral_control
EG,4,668,0,0,0,neutral_control
EGAN,16,3618,0,0,0,neutral_control
EGAS,9,2014,0,0,0,neutral_control
EGC,1,148,0,0,0,neutral_control
EGF,21,4814,0,0,0,neutral_control
EGG,2,176,0,0,0,neutral_control
EGHA,2,118,0,0,0,neutral_control
EGHT,22,5327,0,0,0,neutral_control
EGI,15,3574,0,0,0,neutral_control
EGIF,6,1285,0,0,0,neutral_control
EGIO,3,566,0,0,0,neutral_control
EGL,8,1632,0,0,0,neutral_control
EGLT,8,1841,0,0,0,neutral_control
EGLX,3,636,0,0,0,neutral_control
EGN,14,3503,0,0,0,neutral_control
EGO,22,5327,0,0,0,neutral_control
EGOV,17,4102,0,0,0,neutral_control
EGOX,2,132,0,0,0,neutral_control
EGP,22,5327,0,0,0,neutral_control
EGR,4,992,0,0,0,neutral_control
EGRX,13,2935,0,0,0,neutral_control
EGT,11,2422,0,0,0,neutral_control
EGX,8,736,0,0,0,neutral_control
EHAB,5,923,0,0,0,neutral_control
EHC,13,2520,0,0,0,neutral_control
EHGO,3,421,0,0,0,neutral_control
EHI,22,5327,0,0,0,neutral_control
EHIC,6,1104,0,0,0,neutral_control
EHLD,2,241,0,0,0,neutral_control
EHLDV,1,4,0,0,0,neutral_control
EHP,5,900,0,0,0,neutral_control
EHT,6,1280,0,0,0,neutral_control
EHTH,21,4878,0,0,0,neutral_control
EIA,14,3501,0,0,0,neutral_control
EIC,8,1661,0,0,0,neutral_control
EIDX,4,654,0,0,0,neutral_control
EIF,6,1121,0,0,0,neutral_control
EIGI,9,1836,0,0,0,neutral_control
EII,3,531,0,0,0,neutral_control
EIKN,1,21,0,0,0,neutral_control
EIM,22,5327,0,0,0,neutral_control
EIO,15,3395,0,0,0,neutral_control
EIP,15,3426,0,0,0,neutral_control
EIV,15,3579,0,0,0,neutral_control
EIX,22,5327,0,0,0,neutral_control
EJ,10,2271,0,0,0,neutral_control
EJFA,2,258,0,0,0,neutral_control
EKT,1,145,0,0,0,neutral_control
EL,22,5327,0,0,0,neutral_control
ELAN,9,1874,0,0,0,neutral_control
ELC,19,3374,0,0,0,neutral_control
ELDN,6,1297,0,0,0,neutral_control
ELE,5,805,0,0,0,neutral_control
ELEC,4,351,0,0,0,neutral_control
ELEV,5,1022,0,0,0,neutral_control
ELF,11,2376,0,0,0,neutral_control
ELI,5,1101,0,0,0,neutral_control
ELIQ,2,193,0,0,0,neutral_control
ELK,3,560,0,0,0,neutral_control
ELLI,9,2013,0,0,0,neutral_control
ELMD,17,3819,0,0,0,neutral_control
ELMS,3,283,0,0,0,neutral_control
ELN,9,2256,0,0,0,neutral_control
