rows,tickers,date_min,date_max,columns,manifest_file
505745,4687,2017-12-29,2026-04-15,"['settlement_date', 'ticker', 'short_interest', 'avg_daily_volume', 'days_to_cover']",short_interest_manifest.json
4689038,4623,2018-08-01,2026-04-29,"['ticker', 'date', 'total_volume', 'short_volume', 'exempt_volume', 'non_exempt_volume', 'short_volume_ratio', 'nyse_short_volume', 'nyse_short_volume_exempt', 'nasdaq_carteret_short_volume', 'nasdaq_carteret_short_volume_exempt', 'nasdaq_chicago_short_volume', 'nasdaq_chicago_short_volume_exempt', 'adf_short_volume', 'adf_short_volume_exempt', 'orf_short_volume', 'orf_short_volume_exempt']",short_volume_manifest.json
