run_id,market_date,ticker,symbol,ask_exchange,ask_price,ask_size,bid_exchange,bid_price,bid_size,conditions,indicators,participant_timestamp,sequence_number,timestamp,trf_timestamp,tape,source_time_et,observed_at_utc,last_price,session_volume,session_high,session_low,session_open,prev_close,today_close,vwap,trades_all_day,relative_volume,year,month,day,event_line_index,command,stage,raw_line
das_cmdapi_live_20260708T193719Z,2026-07-08,NVDA,NVDA,,205.1,2,,205.08,1,,,,,2026-07-08T19:37:55Z,,Q,15:37:55,2026-07-08T19:37:56+00:00,205.09,109451566,205.16,195.1,195.18,196.93,0,200.04,1453370,88,2026,7,8,0,SB NVDA Lv1,screener_lv1,$Quote NVDA A:205.1 Asz:2 B:205.08 Bsz:1 V:109451566 L:205.09 Hi:205.16 Lo:195.1 op:195.18 ycl:196.93 tcl:0 PE:Q VWAP:200.04 tradesAllDay:1453370 RVOL:88 T:15:37:55
das_cmdapi_live_20260708T193719Z,2026-07-08,NVDA,NVDA,,205.07,39,,205.06,1,,,,,2026-07-08T19:37:55Z,,Q,15:37:55,2026-07-08T19:37:56+00:00,205.07,109453814,205.16,195.1,195.18,196.93,0,200.04,1453387,88,2026,7,8,2,SB NVDA Lv1,screener_lv1,$Quote NVDA A:205.07 Asz:39 B:205.06 Bsz:1 V:109453814 L:205.07 Hi:205.16 Lo:195.1 op:195.18 ycl:196.93 tcl:0 PE:Q VWAP:200.04 tradesAllDay:1453387 RVOL:88 T:15:37:55
das_cmdapi_live_20260708T193719Z,2026-07-08,NVDA,NVDA,,205.07,39,,205.06,1,,,,,2026-07-08T19:37:55Z,,Q,15:37:55,2026-07-08T19:37:56+00:00,205.065,109455627,205.16,195.1,195.18,196.93,0,200.04,1453400,88,2026,7,8,3,SB NVDA Lv1,screener_lv1,$Quote NVDA A:205.07 Asz:39 B:205.06 Bsz:1 V:109455627 L:205.065 Hi:205.16 Lo:195.1 op:195.18 ycl:196.93 tcl:0 PE:Q VWAP:200.04 tradesAllDay:1453400 RVOL:88 T:15:37:55
das_cmdapi_live_20260708T193719Z,2026-07-08,NVDA,NVDA,,205.07,29,,205.06,2,,,,,2026-07-08T19:37:55Z,,Q,15:37:55,2026-07-08T19:37:56+00:00,205.065,109458223,205.16,195.1,195.18,196.93,0,200.04,1453418,88,2026,7,8,4,SB NVDA Lv1,screener_lv1,$Quote NVDA A:205.07 Asz:29 B:205.06 Bsz:2 V:109458223 L:205.065 Hi:205.16 Lo:195.1 op:195.18 ycl:196.93 tcl:0 PE:Q VWAP:200.04 tradesAllDay:1453418 RVOL:88 T:15:37:55
das_cmdapi_live_20260708T193719Z,2026-07-08,OPEN,OPEN,,4.81,306,,4.8,92,,,,,2026-07-08T19:37:57Z,,Q,15:37:57,2026-07-08T19:37:58+00:00,4.805,92337381,4.82,4.535,4.715,4.79,0,4.6858,101778,175,2026,7,8,0,SB OPEN Lv1,screener_lv1,$Quote OPEN A:4.81 Asz:306 B:4.8 Bsz:92 V:92337381 L:4.805 Hi:4.82 Lo:4.535 op:4.715 ycl:4.79 tcl:0 PE:Q VWAP:4.6858 tradesAllDay:101778 RVOL:175 T:15:37:57
das_cmdapi_live_20260708T193719Z,2026-07-08,RIVN,RIVN,,16.75,75,,16.74,103,,,,,2026-07-08T19:37:59Z,,Q,15:37:59,2026-07-08T19:38:00+00:00,16.75,89764547,16.75,15.4307,15.67,16.49,0,16.091,326370,296,2026,7,8,0,SB RIVN Lv1,screener_lv1,$Quote RIVN A:16.75 Asz:75 B:16.74 Bsz:103 V:89764547 L:16.75 Hi:16.75 Lo:15.4307 op:15.67 ycl:16.49 tcl:0 PE:Q VWAP:16.091 tradesAllDay:326370 RVOL:296 T:15:37:59
das_cmdapi_live_20260708T193719Z,2026-07-08,RIVN,RIVN,,16.75,76,,16.74,103,,,,,2026-07-08T19:38:00Z,,Q,15:38:00,2026-07-08T19:38:00+00:00,16.745,89765247,16.75,15.4307,15.67,16.49,0,16.091,326374,296,2026,7,8,3,SB RIVN Lv1,screener_lv1,$Quote RIVN A:16.75 Asz:76 B:16.74 Bsz:103 V:89765247 L:16.745 Hi:16.75 Lo:15.4307 op:15.67 ycl:16.49 tcl:0 PE:Q VWAP:16.091 tradesAllDay:326374 RVOL:296 T:15:38:00
das_cmdapi_live_20260708T193719Z,2026-07-08,RIVN,RIVN,,16.74,14,,16.73,46,,,,,2026-07-08T19:38:00Z,,Q,15:38:00,2026-07-08T19:38:00+00:00,16.745,89787334,16.75,15.4307,15.67,16.49,0,16.092,326449,296,2026,7,8,4,SB RIVN Lv1,screener_lv1,$Quote RIVN A:16.74 Asz:14 B:16.73 Bsz:46 V:89787334 L:16.745 Hi:16.75 Lo:15.4307 op:15.67 ycl:16.49 tcl:0 PE:Q VWAP:16.092 tradesAllDay:326449 RVOL:296 T:15:38:00
das_cmdapi_live_20260708T193719Z,2026-07-08,INTC,INTC,,107.9,5,,107.88,5,,,,,2026-07-08T19:38:02Z,,Q,15:38:02,2026-07-08T19:38:03+00:00,107.89,83670450,110.3,104.41,108.31,110.39,0,107.28,889604,76,2026,7,8,0,SB INTC Lv1,screener_lv1,$Quote INTC A:107.9 Asz:5 B:107.88 Bsz:5 V:83670450 L:107.89 Hi:110.3 Lo:104.41 op:108.31 ycl:110.39 tcl:0 PE:Q VWAP:107.28 tradesAllDay:889604 RVOL:76 T:15:38:02
das_cmdapi_live_20260708T193719Z,2026-07-08,INTC,INTC,,107.91,2,,107.9,1,,,,,2026-07-08T19:38:02Z,,Q,15:38:02,2026-07-08T19:38:03+00:00,107.9,83672085,110.3,104.41,108.31,110.39,0,107.28,889639,76,2026,7,8,3,SB INTC Lv1,screener_lv1,$Quote INTC A:107.91 Asz:2 B:107.9 Bsz:1 V:83672085 L:107.9 Hi:110.3 Lo:104.41 op:108.31 ycl:110.39 tcl:0 PE:Q VWAP:107.28 tradesAllDay:889639 RVOL:76 T:15:38:02
