run_id,market_date,ticker,symbol,status_prefix,ssr,flags_json,loose_fields,observed_at_utc,event_line_index,command,stage,raw_line
das_cmdapi_live_20260708T193719Z,2026-07-08,EDBL,EDBL,$SymStatus,Y,"{""SSR"": ""Y""}",,2026-07-08T19:37:48+00:00,2,SB EDBL Lv1,screener_lv1,$SymStatus EDBL SSR:Y
das_cmdapi_live_20260708T193719Z,2026-07-08,ONFO,ONFO,$SymStatus,Y,"{""SSR"": ""Y""}",,2026-07-08T19:37:53+00:00,1,SB ONFO Lv1,screener_lv1,$SymStatus ONFO SSR:Y
das_cmdapi_live_20260708T193719Z,2026-07-08,RIVN,RIVN,$SymStatus,Y,"{""SSR"": ""Y""}",,2026-07-08T19:38:00+00:00,2,SB RIVN Lv1,screener_lv1,$SymStatus RIVN SSR:Y
das_cmdapi_live_20260708T193719Z,2026-07-08,INTC,INTC,$SymStatus,Y,"{""SSR"": ""Y""}",,2026-07-08T19:38:03+00:00,2,SB INTC Lv1,screener_lv1,$SymStatus INTC SSR:Y
das_cmdapi_live_20260708T193719Z,2026-07-08,BIYA,BIYA,$SymStatus,Y,"{""SSR"": ""Y""}",,2026-07-08T19:38:08+00:00,2,SB BIYA Lv1,screener_lv1,$SymStatus BIYA SSR:Y
das_cmdapi_live_20260708T193719Z,2026-07-08,CPOP,CPOP,$SymStatus,Y,"{""SSR"": ""Y""}",,2026-07-08T19:38:13+00:00,2,SB CPOP Lv1,screener_lv1,$SymStatus CPOP SSR:Y
das_cmdapi_live_20260708T193719Z,2026-07-08,EOSER,EOSER,$SymStatus,Y,"{""SSR"": ""Y""}",,2026-07-08T19:38:29+00:00,1,SB EOSER Lv1,screener_lv1,$SymStatus EOSER SSR:Y
das_cmdapi_live_20260708T193719Z,2026-07-08,YHC,YHC,$SymStatus,Y,"{""SSR"": ""Y""}",,2026-07-08T19:38:32+00:00,2,SB YHC Lv1,screener_lv1,$SymStatus YHC SSR:Y
das_cmdapi_live_20260708T193719Z,2026-07-08,NVVE,NVVE,$SymStatus,Y,"{""SSR"": ""Y"", ""TA"": ""T""}",,2026-07-08T19:38:39+00:00,2,SB NVVE Lv1,screener_lv1,$SymStatus NVVE SSR:Y TA:T
das_cmdapi_live_20260708T193719Z,2026-07-08,ELTX,ELTX,$SymStatus,Y,"{""SSR"": ""Y""}",,2026-07-08T19:38:49+00:00,2,SB ELTX Lv1,screener_lv1,$SymStatus ELTX SSR:Y
