run_id,market_date,ticker,symbol,event_type,filter_status,session,observed_at_utc,price_usd,volume_shares,market_cap_usd,market_cap_asof_date,market_cap_source,failure_reasons,toplist_seen,capture_status,lv1_bid,lv1_ask,lv1_last,lv1_volume,quote_raw_line
das_cmdapi_live_20260708T193719Z,2026-07-08,SOXS,SOXS,screener_evaluated,FAIL,regular_market,2026-07-08T19:37:47+00:00,4.5201,797308572,,,unavailable_in_market_cap_reference,market_cap_unavailable,True,,4.52,4.53,4.5201,797308572,$Quote SOXS A:4.53 Asz:25 B:4.52 Bsz:23 V:797308572 L:4.5201 Hi:4.99 Lo:4.46 op:4.98 ycl:4.8 tcl:0 PE:A VWAP:4.772 tradesAllDay:472156 RVOL:143 T:15:37:45
das_cmdapi_live_20260708T193719Z,2026-07-08,EDBL,EDBL,screener_evaluated,FAIL,regular_market,2026-07-08T19:37:50+00:00,0.1194,459424758,32362.496000000003,2026-03-06,C:\TSIS_Data\01_TSIS_DATA_FOUNDATION\runs\backtest\market_cap_last_observed_cutoff\20260320_market_cap_last_observed_cutoff\market_cap_cutoff_lt_1b_active_inactive.csv,price_outside_range,True,,0.1194,0.1194,0.1194,459424758,$Quote EDBL A:0.1194 Asz:395 B:0.1194 Bsz:1 V:459424758 L:0.1194 Hi:0.151 Lo:0.1038 op:0.1312 ycl:0.0877 tcl:0 PE:Q VWAP:0.13877 tradesAllDay:350449 RVOL:2453 T:15:37:30
das_cmdapi_live_20260708T193719Z,2026-07-08,AAL,AAL,screener_evaluated,FAIL,regular_market,2026-07-08T19:37:52+00:00,16.575,159689036,,,unavailable_in_market_cap_reference,market_cap_unavailable,True,,16.57,16.58,16.575,159689036,$Quote AAL A:16.58 Asz:173 B:16.57 Bsz:119 V:159689036 L:16.575 Hi:16.91 Lo:16.11 op:16.835 ycl:17.2 tcl:0 PE:Q VWAP:16.452 tradesAllDay:189328 RVOL:123 T:15:37:50
das_cmdapi_live_20260708T193719Z,2026-07-08,ONFO,ONFO,screener_evaluated,FAIL,regular_market,2026-07-08T19:37:54+00:00,0.237,135220085,2661329.3200000003,2026-03-06,C:\TSIS_Data\01_TSIS_DATA_FOUNDATION\runs\backtest\market_cap_last_observed_cutoff\20260320_market_cap_last_observed_cutoff\market_cap_cutoff_lt_1b_active_inactive.csv,price_outside_range,True,,0.2374,0.2393,0.237,135220085,$Quote ONFO A:0.2393 Asz:1 B:0.2374 Bsz:19 V:135220085 L:0.237 Hi:0.5869 Lo:0.2222 op:0.5369 ycl:0.394 tcl:0 PE:Q VWAP:0.51648 tradesAllDay:291725 RVOL:39504 T:15:37:53
das_cmdapi_live_20260708T193719Z,2026-07-08,NVDA,NVDA,screener_evaluated,FAIL,regular_market,2026-07-08T19:37:57+00:00,205.065,109458223,,,unavailable_in_market_cap_reference,market_cap_unavailable|price_outside_range,True,,205.06,205.07,205.065,109458223,$Quote NVDA A:205.07 Asz:29 B:205.06 Bsz:2 V:109458223 L:205.065 Hi:205.16 Lo:195.1 op:195.18 ycl:196.93 tcl:0 PE:Q VWAP:200.04 tradesAllDay:1453418 RVOL:88 T:15:37:55
das_cmdapi_live_20260708T193719Z,2026-07-08,OPEN,OPEN,screener_evaluated,FAIL,regular_market,2026-07-08T19:37:59+00:00,4.805,92337381,,,unavailable_in_market_cap_reference,market_cap_unavailable,True,,4.8,4.81,4.805,92337381,$Quote OPEN A:4.81 Asz:306 B:4.8 Bsz:92 V:92337381 L:4.805 Hi:4.82 Lo:4.535 op:4.715 ycl:4.79 tcl:0 PE:Q VWAP:4.6858 tradesAllDay:101778 RVOL:175 T:15:37:57
das_cmdapi_live_20260708T193719Z,2026-07-08,RIVN,RIVN,screener_evaluated,FAIL,regular_market,2026-07-08T19:38:02+00:00,16.745,89787334,,,unavailable_in_market_cap_reference,market_cap_unavailable,True,,16.73,16.74,16.745,89787334,$Quote RIVN A:16.74 Asz:14 B:16.73 Bsz:46 V:89787334 L:16.745 Hi:16.75 Lo:15.4307 op:15.67 ycl:16.49 tcl:0 PE:Q VWAP:16.092 tradesAllDay:326449 RVOL:296 T:15:38:00
das_cmdapi_live_20260708T193719Z,2026-07-08,INTC,INTC,screener_evaluated,FAIL,regular_market,2026-07-08T19:38:04+00:00,107.89,83674772,,,unavailable_in_market_cap_reference,market_cap_unavailable|price_outside_range,True,,107.88,107.91,107.89,83674772,$Quote INTC A:107.91 Asz:7 B:107.88 Bsz:3 V:83674772 L:107.89 Hi:110.3 Lo:104.41 op:108.31 ycl:110.39 tcl:0 PE:Q VWAP:107.28 tradesAllDay:889676 RVOL:76 T:15:38:03
das_cmdapi_live_20260708T193719Z,2026-07-08,SOFI,SOFI,screener_evaluated,FAIL,regular_market,2026-07-08T19:38:07+00:00,17.645,78178478,,,unavailable_in_market_cap_reference,market_cap_unavailable,True,,17.64,17.65,17.645,78178478,$Quote SOFI A:17.65 Asz:123 B:17.64 Bsz:14 V:78178478 L:17.645 Hi:17.645 Lo:17.08 op:17.34 ycl:17.75 tcl:0 PE:Q VWAP:17.381 tradesAllDay:178394 RVOL:110 T:15:38:05
das_cmdapi_live_20260708T193719Z,2026-07-08,BIYA,BIYA,screener_evaluated,FAIL,regular_market,2026-07-08T19:38:09+00:00,0.5399,74518546,,,unavailable_in_market_cap_reference,market_cap_unavailable,True,,0.5375,0.5535,0.5399,74518546,$Quote BIYA A:0.5535 Asz:12 B:0.5375 Bsz:6 V:74518546 L:0.5399 Hi:0.6354 Lo:0.2988 op:0.2994 ycl:0.413 tcl:0 PE:Q VWAP:0.5272 tradesAllDay:156064 RVOL:309 T:15:38:04
