run_id,market_date,ticker,symbol,limit_down,limit_up,observed_at_utc,event_line_index,command,stage,raw_line
das_cmdapi_live_20260708T193719Z,2026-07-08,DRAM,DRAM,55.32,67.61,2026-07-08T19:40:30+00:00,1,SB DRAM Lv1,screener_lv1,$LDLU DRAM 55.32 67.61
das_cmdapi_live_20260708T193719Z,2026-07-08,SOXL,SOXL,121.91,226.4,2026-07-08T19:40:32+00:00,1,SB SOXL Lv1,screener_lv1,$LDLU SOXL 121.91 226.4
das_cmdapi_live_20260708T193719Z,2026-07-08,NU,NU,12.04,14.72,2026-07-08T19:40:35+00:00,1,SB NU Lv1,screener_lv1,$LDLU NU 12.04 14.72
das_cmdapi_live_20260708T193719Z,2026-07-08,PATH,PATH,10.34,12.64,2026-07-08T19:40:37+00:00,0,SB PATH Lv1,screener_lv1,$LDLU PATH 10.34 12.64
das_cmdapi_live_20260708T193719Z,2026-07-08,NOK,NOK,10.64,13.01,2026-07-08T19:40:39+00:00,1,SB NOK Lv1,screener_lv1,$LDLU NOK 10.64 13.01
das_cmdapi_live_20260708T193719Z,2026-07-08,QXO,QXO,13.22,16.16,2026-07-08T19:40:42+00:00,0,SB QXO Lv1,screener_lv1,$LDLU QXO 13.22 16.16
das_cmdapi_live_20260708T193719Z,2026-07-08,T,T,19.12,23.37,2026-07-08T19:40:44+00:00,0,SB T Lv1,screener_lv1,$LDLU T 19.12 23.37
das_cmdapi_live_20260708T193719Z,2026-07-08,SPDN,SPDN,7.85,9.59,2026-07-08T19:40:49+00:00,0,SB SPDN Lv1,screener_lv1,$LDLU SPDN 7.85 9.59
das_cmdapi_live_20260708T193719Z,2026-07-08,DRIP,DRIP,3.91,5.86,2026-07-08T19:40:51+00:00,1,SB DRIP Lv1,screener_lv1,$LDLU DRIP 3.91 5.86
das_cmdapi_live_20260708T193719Z,2026-07-08,BMNU,BMNU,0.16,1.44,2026-07-08T19:40:54+00:00,1,SB BMNU Lv1,screener_lv1,$LDLU BMNU 0.16 1.44
das_cmdapi_live_20260708T193719Z,2026-07-08,SNTQ,SNTQ,22.5,27.5,2026-07-08T19:40:56+00:00,0,SB SNTQ Lv1,screener_lv1,$LDLU SNTQ 22.5 27.5
das_cmdapi_live_20260708T193719Z,2026-07-08,WULX,WULX,29.51,44.26,2026-07-08T19:40:58+00:00,1,SB WULX Lv1,screener_lv1,$LDLU WULX 29.51 44.26
das_cmdapi_live_20260708T193719Z,2026-07-08,WYFL,WYFL,21.34,32.02,2026-07-08T19:41:01+00:00,1,SB WYFL Lv1,screener_lv1,$LDLU WYFL 21.34 32.02
das_cmdapi_live_20260708T193719Z,2026-07-08,OPTU,OPTU,0.85,1.99,2026-07-08T19:41:04+00:00,0,SB OPTU Lv1,screener_lv1,$LDLU OPTU 0.85 1.99
das_cmdapi_live_20260708T193719Z,2026-07-08,NEBX,NEBX,26.61,39.91,2026-07-08T19:41:06+00:00,1,SB NEBX Lv1,screener_lv1,$LDLU NEBX 26.61 39.91
das_cmdapi_live_20260708T193719Z,2026-07-08,SDEV,SDEV,0.88,2.04,2026-07-08T19:41:08+00:00,0,SB SDEV Lv1,screener_lv1,$LDLU SDEV 0.88 2.04
das_cmdapi_live_20260708T193719Z,2026-07-08,IRE,IRE,11.04,16.56,2026-07-08T19:41:11+00:00,1,SB IRE Lv1,screener_lv1,$LDLU IRE 11.04 16.56
das_cmdapi_live_20260708T193719Z,2026-07-08,IREX,IREX,15.48,23.21,2026-07-08T19:41:13+00:00,0,SB IREX Lv1,screener_lv1,$LDLU IREX 15.48 23.21
das_cmdapi_live_20260708T193719Z,2026-07-08,CRWU,CRWU,3.75,5.63,2026-07-08T19:41:16+00:00,0,SB CRWU Lv1,screener_lv1,$LDLU CRWU 3.75 5.63
das_cmdapi_live_20260708T193719Z,2026-07-08,CWVX,CWVX,16.28,24.41,2026-07-08T19:41:18+00:00,0,SB CWVX Lv1,screener_lv1,$LDLU CWVX 16.28 24.41
das_cmdapi_live_20260708T193719Z,2026-07-08,BZH,BZH,28.01,34.23,2026-07-08T19:41:20+00:00,0,SB BZH Lv1,screener_lv1,$LDLU BZH 28.01 34.23
das_cmdapi_live_20260708T193719Z,2026-07-08,BEZ,BEZ,11.99,17.98,2026-07-08T19:41:23+00:00,0,SB BEZ Lv1,screener_lv1,$LDLU BEZ 11.99 17.98
das_cmdapi_live_20260708T193719Z,2026-07-08,BABA,BABA,98.41,120.28,2026-07-08T19:41:25+00:00,0,SB BABA Lv1,screener_lv1,$LDLU BABA 98.41 120.28
das_cmdapi_live_20260708T193719Z,2026-07-08,CVM,CVM,0.85,1.97,2026-07-08T19:41:28+00:00,0,SB CVM Lv1,screener_lv1,$LDLU CVM 0.85 1.97
das_cmdapi_live_20260708T193719Z,2026-07-08,PARR,PARR,61.16,74.75,2026-07-08T19:41:30+00:00,1,SB PARR Lv1,screener_lv1,$LDLU PARR 61.16 74.75
das_cmdapi_live_20260708T193719Z,2026-07-08,EAF,EAF,5.32,6.5,2026-07-08T19:41:32+00:00,0,SB EAF Lv1,screener_lv1,$LDLU EAF 5.32 6.5
das_cmdapi_live_20260708T193719Z,2026-07-08,CIFU,CIFU,19.98,29.98,2026-07-08T19:41:35+00:00,0,SB CIFU Lv1,screener_lv1,$LDLU CIFU 19.98 29.98
das_cmdapi_live_20260708T193719Z,2026-07-08,NBIZ,NBIZ,7.72,11.58,2026-07-08T19:41:37+00:00,0,SB NBIZ Lv1,screener_lv1,$LDLU NBIZ 7.72 11.58
das_cmdapi_live_20260708T193719Z,2026-07-08,OFRM,OFRM,16.33,19.96,2026-07-08T19:41:40+00:00,1,SB OFRM Lv1,screener_lv1,$LDLU OFRM 16.33 19.96
das_cmdapi_live_20260708T193719Z,2026-07-08,SIF,SIF,19.53,23.87,2026-07-08T19:41:42+00:00,0,SB SIF Lv1,screener_lv1,$LDLU SIF 19.53 23.87
das_cmdapi_live_20260708T193719Z,2026-07-08,IREZ,IREZ,6.51,9.76,2026-07-08T19:41:45+00:00,0,SB IREZ Lv1,screener_lv1,$LDLU IREZ 6.51 9.76
das_cmdapi_live_20260708T193719Z,2026-07-08,SKYQ,SKYQ,2.97,4.45,2026-07-08T19:41:59+00:00,1,SB SKYQ Lv1,candidate_subscribe,$LDLU SKYQ 2.97 4.45
das_cmdapi_live_20260708T193719Z,2026-07-08,SKYQ,SKYQ,2.97,4.45,2026-07-08T19:42:01+00:00,0,GET LDLU SKYQ,candidate_static_query,$LDLU SKYQ 2.97 4.45
das_cmdapi_live_20260708T193719Z,2026-07-08,NVVE,NVVE,8.09,9.89,2026-07-08T19:42:21+00:00,8,SB NVVE Lv1,candidate_subscribe,$LDLU NVVE 8.09 9.89
das_cmdapi_live_20260708T193719Z,2026-07-08,NVVE,NVVE,8.09,9.89,2026-07-08T19:42:24+00:00,6,GET LDLU NVVE,candidate_static_query,$LDLU NVVE 8.09 9.89
das_cmdapi_live_20260708T193719Z,2026-07-08,TVRD,TVRD,0.0,0.0,2026-07-08T19:42:48+00:00,56,GET LDLU TVRD,candidate_static_query,$LDLU TVRD 0 0
das_cmdapi_live_20260708T193719Z,2026-07-08,NVVE,NVVE,8.01,9.79,2026-07-08T19:42:57+00:00,59,SB TVRD Lv2,candidate_subscribe,$LDLU NVVE 8.01 9.79
das_cmdapi_live_20260708T193719Z,2026-07-08,LHAI,LHAI,0.94,2.19,2026-07-08T19:43:10+00:00,3,SB LHAI Lv1,candidate_subscribe,$LDLU LHAI 0.94 2.19
das_cmdapi_live_20260708T193719Z,2026-07-08,LHAI,LHAI,0.94,2.19,2026-07-08T19:43:12+00:00,2,GET LDLU LHAI,candidate_static_query,$LDLU LHAI 0.94 2.19
das_cmdapi_live_20260708T193719Z,2026-07-08,ZCMD,ZCMD,1.63,3.8,2026-07-08T19:43:36+00:00,8,SB ZCMD Lv1,candidate_subscribe,$LDLU ZCMD 1.63 3.8
das_cmdapi_live_20260708T193719Z,2026-07-08,ZCMD,ZCMD,1.63,3.8,2026-07-08T19:43:39+00:00,26,GET LDLU ZCMD,candidate_static_query,$LDLU ZCMD 1.63 3.8
das_cmdapi_live_20260708T193719Z,2026-07-08,VANI,VANI,0.94,2.2,2026-07-08T19:44:02+00:00,20,SB VANI Lv1,candidate_subscribe,$LDLU VANI 0.94 2.2
das_cmdapi_live_20260708T193719Z,2026-07-08,VANI,VANI,0.94,2.2,2026-07-08T19:44:05+00:00,3,GET LDLU VANI,candidate_static_query,$LDLU VANI 0.94 2.2
das_cmdapi_live_20260708T193719Z,2026-07-08,NVVE,NVVE,7.93,9.69,2026-07-08T19:44:05+00:00,18,GET LDLU VANI,candidate_static_query,$LDLU NVVE 7.93 9.69
das_cmdapi_live_20260708T193719Z,2026-07-08,SDOT,SDOT,17.7,21.63,2026-07-08T19:44:27+00:00,26,SB SDOT Lv1,candidate_subscribe,$LDLU SDOT 17.7 21.63
das_cmdapi_live_20260708T193719Z,2026-07-08,SDOT,SDOT,17.7,21.63,2026-07-08T19:44:31+00:00,14,GET LDLU SDOT,candidate_static_query,$LDLU SDOT 17.7 21.63
