ticker,dividend_type,event_date,cash_amount,first_date,last_date,within_daily_window
NEXA,SC,2026-07-28,0.1321,2017-10-27,2026-03-06,False
NFE,SC,2023-01-03,3.0,2019-01-31,2026-03-06,True
NGVC,SC,2023-11-24,1.0,2012-07-25,2026-03-06,True
NGVC,SC,2020-11-27,2.0,2012-07-25,2026-03-06,True
NKSH,SC,2023-01-20,1.0,2005-01-03,2026-03-06,True
NL,SC,2025-08-18,0.21,2005-01-03,2026-03-06,True
NL,SC,2024-08-19,0.43,2005-01-03,2026-03-06,True
NL,SC,2022-08-19,0.35,2005-01-03,2026-03-06,True
NLOP,SC,2026-03-30,3.3,2023-11-02,2026-03-06,False
NLOP,SC,2026-02-18,6.75,2023-11-02,2026-03-06,True
NLOP,SC,2026-01-02,5.1,2023-11-02,2026-03-06,True
NPK,SC,2024-02-29,3.5,2005-01-03,2026-03-06,True
NPK,SC,2023-02-28,3.0,2005-01-03,2026-03-06,True
NRC,SC,2023-09-15,1.0,2005-01-03,2026-03-06,True
NREF,SC,2023-03-14,0.185,2020-02-07,2026-03-06,True
NTP,SC,2006-03-29,0.02,2014-04-22,2022-05-23,False
NXL,SC,2005-08-23,3.0,2005-01-03,2026-03-06,True
OB,SC,2008-03-13,2.03,2006-11-09,2025-06-09,True
OCG,SC,2026-01-22,0.05,2020-12-15,2026-03-06,True
OPY,SC,2025-12-26,1.0,2005-01-03,2026-03-06,True
OVBC,SC,2023-05-26,0.15,2005-01-03,2026-03-06,True
OVBC,SC,2022-05-27,0.15,2005-01-03,2026-03-06,True
OXSQ,SC,2023-09-14,0.12,2018-03-23,2026-03-06,True
PBNC,SC,2026-02-11,0.34,2005-01-03,2026-02-23,True
PD,SC,2005-11-14,5.0,2005-01-03,2026-03-06,True
PEBK,SC,2024-02-02,0.16,2005-01-03,2026-03-06,True
PEBK,SC,2023-02-02,0.15,2005-01-03,2026-03-06,True
PFBX,SC,2024-12-09,0.08,2005-01-03,2026-03-06,True
PFBX,SC,2023-11-10,0.23,2005-01-03,2026-03-06,True
PFIN,SC,2022-11-17,0.05,2005-01-03,2023-12-20,True
PFIN,SC,2022-08-19,0.05,2005-01-03,2023-12-20,True
PFSW,SC,2022-12-16,4.5,2005-01-03,2023-10-23,True
PFX,SC,2025-02-14,1.43,2005-01-03,2026-03-06,True
PFX,SC,2024-05-23,1.31,2005-01-03,2026-03-06,True
PFX,SC,2022-07-01,0.12,2005-01-03,2026-03-06,True
PKE,SC,2023-03-08,1.0,2005-01-03,2026-03-06,True
PKE,SC,2019-02-04,4.25,2005-01-03,2026-03-06,True
PKE,SC,2018-01-22,3.0,2005-01-03,2026-03-06,True
PKE,SC,2006-07-28,1.0,2005-01-03,2026-03-06,True
PNNT,SC,2026-03-16,0.04,2007-04-19,2026-03-06,False
PPSI,SC,2024-12-17,1.5,2013-09-19,2026-03-06,True
PRPH,SC,2022-05-24,0.3,2010-05-10,2026-03-06,True
PTMN,SC,2025-03-24,0.07,2019-04-02,2025-08-22,True
