ticker,files_seen,years_written,days_written
BNGO,2,1,47
BXRX,2,1,48
CEI,1,1,26
COSM,1,1,26
EFSH,1,1,26
LIVE,1,1,23
PD,1,1,23
SAVA,1,1,24
