relative_path,column,rows,nulls,inf_rows,min,max,mean
ticker=BXRX/year=2022/day_features_BXRX_2022.parquet,close_norm,48,0,0,0.126,5.75,1.818725
ticker=BXRX/year=2022/day_features_BXRX_2022.parquet,high_norm,48,0,0,0.13999999999999999,7.3,2.1249395833333335
ticker=BXRX/year=2022/day_features_BXRX_2022.parquet,low_norm,48,0,0,0.121,4.74,1.6335645833333334
ticker=BXRX/year=2022/day_features_BXRX_2022.parquet,session_range_abs_norm,48,0,0,0.007400000000000018,2.9499999999999997,0.49137499999999995
ticker=BXRX/year=2022/day_features_BXRX_2022.parquet,realized_vol_1d_norm,48,0,0,0.007050557996666687,0.5219986102091445,0.23934634749970696
ticker=BXRX/year=2022/day_features_BXRX_2022.parquet,max_future_split_factor_in_day,48,0,0,0.025,1.0,0.553125
ticker=BXRX/year=2022/day_features_BXRX_2022.parquet,gap_open_vs_prev_close,48,1,0,-0.12254901960784315,38.97037037037037,0.820939880603535
ticker=BXRX/year=2022/day_features_BXRX_2022.parquet,open_vs_prev_session_close,48,1,0,-0.12254901960784315,38.97037037037037,0.820939880603535
ticker=BXRX/year=2022/day_features_BXRX_2022.parquet,open_vs_prev_session_high,48,1,0,-0.33698630136986296,27.251308900523558,0.4671958405741569
ticker=BXRX/year=2022/day_features_BXRX_2022.parquet,open_vs_prev_session_low,48,1,0,-0.09137055837563446,42.516129032258064,1.0049319308872564
ticker=BXRX/year=2022/day_features_BXRX_2022.parquet,multi_session_return_3d_to_open,48,3,0,-0.3689727463312369,41.82539682539682,2.3030325220165575
ticker=BXRX/year=2022/day_features_BXRX_2022.parquet,multi_session_return_5d_to_open,48,5,0,-0.48453608247422675,34.97333333333333,3.585029191682637
ticker=BXRX/year=2022/day_features_BXRX_2022.parquet,distance_to_prev_day_range_center,48,1,0,-0.18791946308724838,33.26031746031746,0.6845054864661829
ticker=BXRX/year=2022/day_features_BXRX_2022.parquet,prev_day_range_pct_norm,48,1,0,0.007075471698113057,0.6161616161616162,0.2287654562791418
ticker=BXRX/year=2022/day_features_BXRX_2022.parquet,range_expansion_vs_prev_day_norm,48,1,0,-0.9673913043478268,23.666666666667187,1.4998274296917176
ticker=BXRX/year=2022/day_features_BXRX_2022.parquet,distance_to_n_day_high_5,48,2,0,-0.6575342465753424,27.251308900523558,0.32873524693803846
ticker=BXRX/year=2022/day_features_BXRX_2022.parquet,distance_to_n_day_low_5,48,2,0,-0.004524886877828038,43.59504132231405,4.073912857278266
ticker=BXRX/year=2022/day_features_BXRX_2022.parquet,realized_vol_prev_3_sessions_norm,48,1,0,0.08970511034666122,0.37482294143035794,0.24102772899376995
ticker=BXRX/year=2022/day_features_BXRX_2022.parquet,overnight_gap_zscore_20,48,6,0,-1.4676686631796596,1364.6302490429039,32.699185484374176
ticker=BXRX/year=2022/day_features_BXRX_2022.parquet,year,48,0,0,2022.0,2022.0,2022.0
ticker=CEI/year=2022/day_features_CEI_2022.parquet,bar_count_raw,26,0,0,16.0,958.0,602.3076923076923
ticker=CEI/year=2022/day_features_CEI_2022.parquet,open_raw,26,0,0,2.0,5.5,3.998846153846154
ticker=CEI/year=2022/day_features_CEI_2022.parquet,close_raw,26,0,0,2.01,5.47,3.8584615384615395
ticker=CEI/year=2022/day_features_CEI_2022.parquet,high_raw,26,0,0,2.02,8.0,4.476730769230769
ticker=CEI/year=2022/day_features_CEI_2022.parquet,low_raw,26,0,0,1.86,5.31,3.6161653846153845
ticker=CEI/year=2022/day_features_CEI_2022.parquet,cum_volume_session_raw,26,0,0,7630.839999999999,15778640.32,2735309.946923077
ticker=CEI/year=2022/day_features_CEI_2022.parquet,session_vwap_raw,26,0,0,1.9651620192594028,6.170976044590893,3.935671557727071
ticker=CEI/year=2022/day_features_CEI_2022.parquet,intraday_return_since_open_raw,26,0,0,-0.21122994652406413,0.3704245973645679,-0.03444623994166211
ticker=CEI/year=2022/day_features_CEI_2022.parquet,session_range_pct_raw,26,0,0,0.01304863582443647,0.7777777777777778,0.21779226407245472
ticker=CEI/year=2022/day_features_CEI_2022.parquet,opening_drive_30m_raw,26,0,0,-0.07777777777777772,0.22222222222222232,0.0054180957158373715
ticker=CEI/year=2022/day_features_CEI_2022.parquet,pullback_from_session_high_raw,26,0,0,-0.35750000000000004,-0.001848428835489746,-0.1287408835761308
ticker=CEI/year=2022/day_features_CEI_2022.parquet,session_vwap_distance_raw,26,0,0,-0.16706855400850007,0.2278217050519724,-0.017885771667858874
ticker=CEI/year=2022/day_features_CEI_2022.parquet,open_norm,26,0,0,0.0683,4.45,0.9974076923076923
ticker=CEI/year=2022/day_features_CEI_2022.parquet,close_norm,26,0,0,0.0658,3.8,0.9037615384615384
ticker=CEI/year=2022/day_features_CEI_2022.parquet,high_norm,26,0,0,0.0843,5.27,1.101573076923077
ticker=CEI/year=2022/day_features_CEI_2022.parquet,low_norm,26,0,0,0.0571,3.5103,0.8570884615384615
ticker=CEI/year=2022/day_features_CEI_2022.parquet,session_range_abs_norm,26,0,0,0.0010999999999999899,1.7596999999999996,0.24448461538461538
ticker=CEI/year=2022/day_features_CEI_2022.parquet,realized_vol_1d_norm,26,0,0,0.018177317123477508,0.5392949929291196,0.18942201002176656
ticker=CEI/year=2022/day_features_CEI_2022.parquet,max_future_split_factor_in_day,26,0,0,0.02,1.0,0.35923076923076924
ticker=CEI/year=2022/day_features_CEI_2022.parquet,gap_open_vs_prev_close,26,1,0,-0.031216361679224924,49.0,1.9624467099625602
ticker=CEI/year=2022/day_features_CEI_2022.parquet,open_vs_prev_session_close,26,1,0,-0.031216361679224924,49.0,1.9624467099625602
ticker=CEI/year=2022/day_features_CEI_2022.parquet,open_vs_prev_session_high,26,1,0,-0.36875,35.74649050371594,1.3092277501681318
ticker=CEI/year=2022/day_features_CEI_2022.parquet,open_vs_prev_session_low,26,1,0,0.0,54.625,2.2576266450286115
ticker=CEI/year=2022/day_features_CEI_2022.parquet,multi_session_return_3d_to_open,26,3,0,-0.36578947368421044,46.900968783638326,4.936115563616442
ticker=CEI/year=2022/day_features_CEI_2022.parquet,multi_session_return_5d_to_open,26,5,0,-0.41315789473684206,66.629179331307,8.749743323986293
ticker=CEI/year=2022/day_features_CEI_2022.parquet,distance_to_prev_day_range_center,26,1,0,-0.19200000000000006,43.25658876181004,1.6895722216601265
ticker=CEI/year=2022/day_features_CEI_2022.parquet,prev_day_range_pct_norm,26,1,0,0.013205282112845017,0.6809338521400778,0.23225897188362724
ticker=CEI/year=2022/day_features_CEI_2022.parquet,range_expansion_vs_prev_day_norm,26,1,0,-0.9243856332703213,41.81508515815084,3.0992217176918113
